Target gene	Representative transcript	Conserved sites				Poorly conserved sites				Repre- sentative miRNA	Total context+ score	Aggregate PCT	Previous TargetScan publication(s)	Links to sites in UTRs
LRRC8B	NM_001134476	1	1	0	0	1	0	1	0	hsa-miR-155	-0.27	0.1		Sites in UTR
USP48	NM_032236	1	0	0	1	1	0	1	0	hsa-miR-155	-0.27	0.57	"2005, 2007, 2009"	Sites in UTR
AGTRAP	NM_001040194	1	1	0	0	0	0	0	0	hsa-miR-155	-0.27	0.55	2009	Sites in UTR
WNK3	NM_001002838	1	0	1	0	1	0	1	0	hsa-miR-155	-0.27	0.32		Sites in UTR
LSM14A	NM_001114093	1	1	0	0	0	0	0	0	hsa-miR-155	-0.26	0.46	2009	Sites in UTR
BSDC1	NM_001143888	1	1	0	0	0	0	0	0	hsa-miR-155	-0.26	0.34		Sites in UTR
FOS	NM_005252	1	1	0	0	0	0	0	0	hsa-miR-155	-0.26	0.49	2009	Sites in UTR
MAP3K14	NM_003954	1	1	0	0	0	0	0	0	hsa-miR-155	-0.26	0.62	"2005, 2007, 2009"	Sites in UTR
KDM2A	NM_012308	1	1	0	0	1	0	0	1	hsa-miR-155	-0.26	0.33		Sites in UTR
SMAD1	NM_001003688	1	1	0	0	0	0	0	0	hsa-miR-155	-0.26	< 0.1	2009	Sites in UTR
RBAK	NM_001204456	1	1	0	0	2	1	0	1	hsa-miR-155	-0.26	0.28	2009	Sites in UTR
MYLK	NM_053025	1	0	0	1	1	1	0	0	hsa-miR-155	-0.25	0.58	2009	Sites in UTR
ZNF236	NM_007345	1	1	0	0	0	0	0	0	hsa-miR-155	-0.25	0.18	"2005, 2007, 2009"	Sites in UTR
KDM5B	NM_006618	1	1	0	0	0	0	0	0	hsa-miR-155	-0.25	0.61	2009	Sites in UTR
SEC14L5	NM_014692	1	1	0	0	2	0	2	0	hsa-miR-155	-0.25	0.5	2009	Sites in UTR
HBP1	NM_012257	1	1	0	0	0	0	0	0	hsa-miR-155	-0.25	0.28	"2007, 2009"	Sites in UTR
UPP2	NM_001135098	1	1	0	0	0	0	0	0	hsa-miR-155	-0.25	0.54	"2005, 2007, 2009"	Sites in UTR
MYBL1	NM_001080416	1	1	0	0	0	0	0	0	hsa-miR-155	-0.25	0.16	"2007, 2009"	Sites in UTR
DNAJB1	NM_006145	1	1	0	0	0	0	0	0	hsa-miR-155	-0.25	0.54	"2005, 2007, 2009"	Sites in UTR
TRIM32	NM_001099679	1	1	0	0	0	0	0	0	hsa-miR-155	-0.24	0.54	2009	Sites in UTR
SOX11	NM_003108	1	0	1	0	0	0	0	0	hsa-miR-155	-0.24	0.28	"2005, 2007, 2009"	Sites in UTR
TMEM33	NM_018126	1	0	1	0	1	0	1	0	hsa-miR-155	-0.24	0.32		Sites in UTR
CARHSP1	NM_001042476	1	1	0	0	0	0	0	0	hsa-miR-155	-0.24	0.55	"2005, 2007, 2009"	Sites in UTR
MAP3K10	NM_002446	1	1	0	0	0	0	0	0	hsa-miR-155	-0.24	0.24	"2005, 2007, 2009"	Sites in UTR
RPS6KA3	NM_004586	1	0	1	0	0	0	0	0	hsa-miR-155	-0.24	0.28	"2005, 2007, 2009"	Sites in UTR
COL21A1	NM_030820	1	1	0	0	0	0	0	0	hsa-miR-155	-0.24	0.26	2009	Sites in UTR
CHD9	NM_025134	1	1	0	0	0	0	0	0	hsa-miR-155	-0.24	< 0.1	2009	Sites in UTR
DCLRE1A	NM_014881	1	0	1	0	0	0	0	0	hsa-miR-155	-0.23	0.28	2007	Sites in UTR
PCDH9	NM_020403	1	1	0	0	0	0	0	0	hsa-miR-155	-0.23	< 0.1	"2005, 2007"	Sites in UTR
CLDN1	NM_021101	1	0	1	0	0	0	0	0	hsa-miR-155	-0.23	0.28	2009	Sites in UTR
SKIV2L2	NM_015360	1	0	1	0	0	0	0	0	hsa-miR-155	-0.23	0.28		Sites in UTR
IAPP	NM_000415	1	1	0	0	0	0	0	0	hsa-miR-155	-0.23	< 0.1		Sites in UTR
11-Sep	NM_018243	1	0	1	0	2	0	1	1	hsa-miR-155	-0.23	0.43	"2005, 2007, 2009"	Sites in UTR
BNC2	NM_017637	1	1	0	0	1	0	1	0	hsa-miR-155	-0.23	0.33	2009	Sites in UTR
AAK1	NM_014911	1	0	1	0	2	0	2	0	hsa-miR-155	-0.23	0.32	2009	Sites in UTR
ZPLD1	NM_175056	1	1	0	0	0	0	0	0	hsa-miR-155	-0.23	0.14	2009	Sites in UTR
ODZ3	NM_001080477	1	1	0	0	0	0	0	0	hsa-miR-155	-0.23	< 0.1	2007	Sites in UTR
ZNF518B	NM_053042	1	0	1	0	0	0	0	0	hsa-miR-155	-0.23	0.28	"2005, 2007"	Sites in UTR
SLC33A1	NM_004733	1	1	0	0	0	0	0	0	hsa-miR-155	-0.22	< 0.1		Sites in UTR
GABRA1	NM_000806	1	1	0	0	2	0	2	0	hsa-miR-155	-0.22	0.24	2009	Sites in UTR
SMARCA4	NM_001128844	1	1	0	0	0	0	0	0	hsa-miR-155	-0.22	0.55	"2005, 2007"	Sites in UTR
FAR1	NM_032228	1	0	1	0	3	1	1	1	hsa-miR-155	-0.22	0.37	"2005, 2007, 2009"	Sites in UTR
ZBTB41	NM_194314	1	1	0	0	3	1	0	2	hsa-miR-155	-0.22	0.33	"2007, 2009"	Sites in UTR
TRIM23	NM_001656	1	1	0	0	0	0	0	0	hsa-miR-155	-0.22	< 0.1		Sites in UTR
RELA	NM_001145138	1	1	0	0	0	0	0	0	hsa-miR-155	-0.21	0.53		Sites in UTR
USP14	NM_001037334	1	0	1	0	0	0	0	0	hsa-miR-155	-0.21	0.28		Sites in UTR
CSNK1G2	NM_001319	1	1	0	0	0	0	0	0	hsa-miR-155	-0.21	0.48	"2007, 2009"	Sites in UTR
SDCBP	NM_001007067	1	1	0	0	0	0	0	0	hsa-miR-155	-0.21	0.28	"2005, 2007, 2009"	Sites in UTR
ATP2B3	NM_001001344	1	0	1	0	0	0	0	0	hsa-miR-155	-0.21	0.28	2009	Sites in UTR
CDC73	NM_024529	1	0	1	0	0	0	0	0	hsa-miR-155	-0.21	0.28	2007	Sites in UTR
WEE1	NM_001143976	1	1	0	0	0	0	0	0	hsa-miR-155	-0.21	0.55	"2005, 2007, 2009"	Sites in UTR
G3BP2	NM_012297	1	0	1	0	0	0	0	0	hsa-miR-155	-0.21	0.28	2007	Sites in UTR
DMTF1	NM_001142326	1	1	0	0	0	0	0	0	hsa-miR-155	-0.2	0.28	2009	Sites in UTR
TERF1	NM_003218	1	0	1	0	0	0	0	0	hsa-miR-155	-0.2	0.28	2007	Sites in UTR
PODN	NM_001199080	1	0	1	0	0	0	0	0	hsa-miR-155	-0.2	0.28	2009	Sites in UTR
PHC3	NM_024947	1	0	1	0	3	1	2	0	hsa-miR-155	-0.2	0.36	2009	Sites in UTR
AICDA	NM_020661	1	1	0	0	0	0	0	0	hsa-miR-155	-0.2	0.55	"2005, 2007, 2009"	Sites in UTR
MIER3	NM_152622	1	0	1	0	0	0	0	0	hsa-miR-155	-0.2	0.28	2007	Sites in UTR
KRAS	NM_004985	1	0	1	0	1	0	0	1	hsa-miR-155	-0.2	0.33	"2005, 2007, 2009"	Sites in UTR
WDR45	NM_001029896	1	1	0	0	0	0	0	0	hsa-miR-155	-0.2	0.28	2009	Sites in UTR
USP8	NM_001128610	1	0	1	0	0	0	0	0	hsa-miR-155	-0.2	0.28		Sites in UTR
VPS18	NM_020857	1	1	0	0	0	0	0	0	hsa-miR-155	-0.2	0.54	2009	Sites in UTR
XRN1	NM_001042604	1	0	1	0	1	0	0	1	hsa-miR-155	-0.19	0.33	2009	Sites in UTR
FZD5	NM_003468	1	0	0	1	1	0	1	0	hsa-miR-155	-0.19	0.57	"2007, 2009"	Sites in UTR
ZNF248	NM_021045	1	1	0	0	0	0	0	0	hsa-miR-155	-0.19	0.24	2009	Sites in UTR
SOCS1	NM_003745	1	1	0	0	0	0	0	0	hsa-miR-155	-0.19	0.52	"2005, 2007, 2009"	Sites in UTR
REPS2	NM_001080975	1	0	1	0	0	0	0	0	hsa-miR-155	-0.19	0.28	"2007, 2009"	Sites in UTR
EIF2C4	NM_017629	1	1	0	0	0	0	0	0	hsa-miR-155	-0.19	< 0.1	2009	Sites in UTR
RAB5C	NM_004583	1	0	1	0	1	0	1	0	hsa-miR-155	-0.19	0.32	2009	Sites in UTR
FBXO11	NM_001190274	1	0	1	0	1	0	0	1	hsa-miR-155	-0.19	0.33	"2005, 2007, 2009"	Sites in UTR
SAMD12	NM_001101676	1	0	1	0	1	0	1	0	hsa-miR-155	-0.19	0.32	2009	Sites in UTR
CHAF1A	NM_005483	1	0	1	0	0	0	0	0	hsa-miR-155	-0.19	0.28	2009	Sites in UTR
CLCN5	NM_000084	1	0	1	0	0	0	0	0	hsa-miR-155	-0.18	0.28	2009	Sites in UTR
TOMM20	NM_014765	1	1	0	0	0	0	0	0	hsa-miR-155	-0.18	0.59	"2005, 2007, 2009"	Sites in UTR
PHC2	NM_004427	1	1	0	0	0	0	0	0	hsa-miR-155	-0.18	0.5	2009	Sites in UTR
GLT25D1	NM_024656	1	1	0	0	0	0	0	0	hsa-miR-155	-0.18	< 0.1		Sites in UTR
RAPH1	NM_213589	1	1	0	0	0	0	0	0	hsa-miR-155	-0.17	0.6	2009	Sites in UTR
SEMA5A	NM_003966	1	1	0	0	1	0	1	0	hsa-miR-155	-0.17	0.32	"2005, 2007, 2009"	Sites in UTR
RORA	NM_002943	1	0	1	0	1	0	0	1	hsa-miR-155	-0.17	0.33		Sites in UTR
BRD1	NM_014577	1	0	1	0	0	0	0	0	hsa-miR-155	-0.17	0.28	"2005, 2007, 2009"	Sites in UTR
ZNF618	NM_133374	1	1	0	0	0	0	0	0	hsa-miR-155	-0.17	0.66	2009	Sites in UTR
HIVEP2	NM_006734	1	1	0	0	0	0	0	0	hsa-miR-155	-0.17	0.57	"2005, 2007, 2009"	Sites in UTR
RAB3B	NM_002867	1	0	1	0	3	0	1	2	hsa-miR-155	-0.17	0.48		Sites in UTR
SPI1	NM_001080547	1	1	0	0	0	0	0	0	hsa-miR-155	-0.17	0.28	"2005, 2007, 2009"	Sites in UTR
NFIA	NM_001134673	1	0	0	1	3	0	2	1	hsa-miR-155	-0.17	0.63		Sites in UTR
OGN	NM_014057	1	0	1	0	0	0	0	0	hsa-miR-155	-0.17	0.28	"2005, 2007"	Sites in UTR
RGL1	NM_015149	1	0	1	0	1	0	1	0	hsa-miR-155	-0.17	0.32		Sites in UTR
TCF7L2	NM_001146274	1	1	0	0	1	0	0	1	hsa-miR-155	-0.17	0.17		Sites in UTR
VAV3	NM_001079874	1	1	0	0	1	1	0	0	hsa-miR-155	-0.17	0.16	2009	Sites in UTR
BCL10	NM_003921	1	1	0	0	0	0	0	0	hsa-miR-155	-0.17	< 0.1		Sites in UTR
CD274	NM_014143	1	0	0	1	1	0	1	0	hsa-miR-155	-0.16	0.57		Sites in UTR
BAIAP2L1	NM_018842	1	0	1	0	0	0	0	0	hsa-miR-155	-0.16	0.28		Sites in UTR
SLC35F5	NM_025181	1	0	1	0	0	0	0	0	hsa-miR-155	-0.16	0.28		Sites in UTR
CUX1	NM_001202543	1	1	0	0	1	0	1	0	hsa-miR-155	-0.16	0.58	"2007, 2009"	Sites in UTR
BTBD3	NM_014962	1	0	1	0	0	0	0	0	hsa-miR-155	-0.16	0.28	2009	Sites in UTR
MYO10	NM_012334	1	1	0	0	0	0	0	0	hsa-miR-155	-0.16	0.65	"2005, 2007, 2009"	Sites in UTR
TAB2	NM_015093	1	1	0	0	0	0	0	0	hsa-miR-155	-0.16	0.39	"2005, 2007, 2009"	Sites in UTR
MEF2A	NM_001130926	1	1	0	0	0	0	0	0	hsa-miR-155	-0.16	0.19	2009	Sites in UTR
TRAF3	NM_001199427	1	0	1	0	0	0	0	0	hsa-miR-155	-0.16	0.28		Sites in UTR
RPS6KA6	NM_014496	1	0	0	1	2	0	0	2	hsa-miR-155	-0.16	0.56		Sites in UTR
SLA	NM_001045556	1	0	1	0	1	0	0	1	hsa-miR-155	-0.16	0.33	"2005, 2007, 2009"	Sites in UTR
TP53INP1	NM_001135733	1	1	0	0	0	0	0	0	hsa-miR-155	-0.16	0.64	"2005, 2007, 2009"	Sites in UTR
GPD1L	NM_015141	1	1	0	0	0	0	0	0	hsa-miR-155	-0.16	0.28	2009	Sites in UTR
SATB1	NM_001131010	1	0	1	0	0	0	0	0	hsa-miR-155	-0.16	0.28	"2005, 2007, 2009"	Sites in UTR
STRN3	NM_001083893	1	0	1	0	0	0	0	0	hsa-miR-155	-0.15	0.28	2009	Sites in UTR
CBL	NM_005188	1	1	0	0	1	0	0	1	hsa-miR-155	-0.15	0.68	2009	Sites in UTR
PITPNM3	NM_001165966	1	0	1	0	0	0	0	0	hsa-miR-155	-0.15	0.28		Sites in UTR
FAM133A	NM_001171109	1	1	0	0	0	0	0	0	hsa-miR-155	-0.15	< 0.1		Sites in UTR
PTAR1	NM_001099666	1	0	1	0	2	1	0	1	hsa-miR-155	-0.15	0.33	2009	Sites in UTR
SPTY2D1	NM_194285	1	0	0	1	0	0	0	0	hsa-miR-155	-0.15	0.55	2009	Sites in UTR
ILF3	NM_001137673	1	0	1	0	0	0	0	0	hsa-miR-155	-0.15	0.28		Sites in UTR
SP3	NM_001017371	1	0	1	0	0	0	0	0	hsa-miR-155	-0.15	0.28	"2005, 2007, 2009"	Sites in UTR
TBRG1	NM_032811	1	1	0	0	1	0	0	1	hsa-miR-155	-0.15	0.22	2009	Sites in UTR
ARID4A	NM_002892	1	0	1	0	0	0	0	0	hsa-miR-155	-0.15	0.28	2009	Sites in UTR
RCN2	NM_002902	1	0	1	0	0	0	0	0	hsa-miR-155	-0.15	0.28	"2005, 2007"	Sites in UTR
FAM105A	NM_019018	1	0	1	0	1	0	0	1	hsa-miR-155	-0.15	0.33	2009	Sites in UTR
FUT9	NM_006581	1	1	0	0	1	0	0	1	hsa-miR-155	-0.15	0.18	2009	Sites in UTR
C7orf71	NM_001145531	1	0	1	0	0	0	0	0	hsa-miR-155	-0.15	0.28		Sites in UTR
FGF9	NM_002010	1	1	0	0	1	0	0	1	hsa-miR-155	-0.15	0.59		Sites in UTR
GAB3	NM_001081573	1	0	0	1	0	0	0	0	hsa-miR-155	-0.15	0.55		Sites in UTR
NRG3	NM_001010848	1	0	0	1	0	0	0	0	hsa-miR-155	-0.14	0.55		Sites in UTR
KSR1	NM_014238	1	1	0	0	0	0	0	0	hsa-miR-155	-0.14	0.66	2009	Sites in UTR
ARL5B	NM_178815	1	0	1	0	1	0	0	1	hsa-miR-155	-0.14	0.33	"2007, 2009"	Sites in UTR
ECT2L	NM_001077706	1	1	0	0	0	0	0	0	hsa-miR-155	-0.14	0.28	2009	Sites in UTR
ATP6V1G1	NM_004888	1	0	0	1	0	0	0	0	hsa-miR-155	-0.14	0.55	2009	Sites in UTR
UQCRB	NM_001199975	1	1	0	0	0	0	0	0	hsa-miR-155	-0.14	< 0.1		Sites in UTR
FOXO3	NM_001455	1	0	1	0	3	1	1	1	hsa-miR-155	-0.14	0.39		Sites in UTR
GSK3B	NM_001146156	1	0	0	1	0	0	0	0	hsa-miR-155	-0.14	0.55		Sites in UTR
MEIS1	NM_002398	1	1	0	0	0	0	0	0	hsa-miR-155	-0.14	0.28	2009	Sites in UTR
EYA2	NM_005244	1	0	0	1	0	0	0	0	hsa-miR-155	-0.13	0.52		Sites in UTR
RRAGB	NM_006064	1	0	0	1	0	0	0	0	hsa-miR-155	-0.13	0.48		Sites in UTR
LAT2	NM_014146	1	0	1	0	0	0	0	0	hsa-miR-155	-0.13	0.28	"2007, 2009"	Sites in UTR
STON1	NM_001198595	1	1	0	0	1	0	1	0	hsa-miR-155	-0.13	0.19	"2007, 2009"	Sites in UTR
BDNF	NM_001143805	1	0	0	1	0	0	0	0	hsa-miR-155	-0.13	0.55	"2005, 2007, 2009"	Sites in UTR
S1PR1	NM_001400	1	0	1	0	0	0	0	0	hsa-miR-155	-0.13	0.28	"2005, 2007, 2009"	Sites in UTR
S100PBP	NM_022753	1	1	0	0	1	0	1	0	hsa-miR-155	-0.13	0.53	2009	Sites in UTR
