"RefSeq.mRNA" "Transcript_length" "UTR_length"
"107" "NM_002980" 1865 273
"108" "" 4368 2176
"109" "NM_002779" 4183 580
"110" "NM_020826" 5144 3750
"111" "NM_003068" 2099 1116
"112" "NM_005662" 1355 434
"113" "NM_001243036" 1761 104
"114" "NM_001126335" 1761 104
"115" "NM_014270" 1761 104
"116" "NM_000806" 2083 243
"117" "NM_001283035" 1745 620
"118" "NM_001080431" 3546 840
"119" "NM_014781" 6635 1325
"120" "NM_016248" 9920 4038
"121" "" 1442 35
"122" "NM_148920" 2846 474
"123" "NM_004063" 3693 1068
"124" "" 1220 48
"125" "" 1220 70
"126" "" 1220 113
"127" "" 1220 45
"128" "" 1220 74
"129" "" 1220 246
"130" "NM_007255" 1747 651
"131" "" 5192 3787
"132" "NM_016603" 5465 2264
"133" "NM_007320" 1762 257
"134" "NM_019015" 3978 145
"135" "NM_020794" 5000 355
"136" "NM_007285" 1002 511
"137" "NM_000261" 2095 507
"138" "NM_032822" 1810 1313
"139" "NM_003580" 3569 601
"140" "NM_000531" 1585 367
"141" "NM_018259" 4469 1028
"142" "NM_022658" 1889 980
"143" "NM_001031727" 1735 584
"144" "NM_148894" 10565 1272
"145" "NM_005646" 5130 263
"146" "NM_024519" 4051 322
"147" "NM_017682" 1908 377
"148" "NM_023004" 2157 295
"149" "" 4411 3474
"150" "NM_080829" 4279 1119
"151" "" 1410 32
"152" "NM_007009" 1213 86
"153" "NM_004937" 2866 1168
"154" "NM_005565" 4678 2459
"155" "NM_001017408" 4590 2984
"156" "NM_001920" 7156 5573
"157" "NM_001192" 994 220
"158" "NM_018141" 2110 1487
"159" "NM_000409" 1874 652
"160" "NM_002087" 2342 303
"161" "NM_001195753" 1366 487
"162" "NM_004781" 2205 1786
"163" "NM_002901" 2572 1282
"164" "NM_181471" 1695 568
"165" "NM_033215" 3421 1004
"166" "NM_001008537" 11719 6555
"167" "NM_005435" 5544 575
"168" "NM_004289" 3686 1341
"169" "NM_024873" 2416 1222
"170" "NM_025073" 2190 1495
"171" "NM_012464" 6708 3018
"172" "NM_001322802" 1297 933
"173" "NM_005386" 1297 933
"174" "NM_080617" 3024 1116
"175" "NM_005602" 2169 1342
"176" "NM_001286050" 7296 17
"177" "NM_001286050" 7296 6257
"178" "NM_152222" 3535 1980
"179" "NM_001293091" 5801 3231
"180" "NM_001256" 5801 3231
"181" "NM_004572" 4241 1569
"182" "NM_001167929" 4697 2813
"183" "NM_018982" 1851 7
"184" "NM_018982" 1851 550
"185" "NM_052853" 2377 317
"186" "NM_001134224" 6752 3424
"187" "NM_006931" 3915 2182
"188" "NM_048368" 3538 831
"189" "NM_018423" 2995 1204
"190" "NM_002067" 4147 2824
"191" "NM_032607" 2618 1084
"192" "NM_017837" 2367 553
"193" "NM_001308090" 4095 1118
"194" "NM_015401" 4095 1118
"195" "NM_021821" 1888 844
"196" "NM_001282476" 6478 4431
"197" "NM_006380" 6478 4431
"198" "" 612 40
"199" "NM_001217" 1844 176
"200" "NM_024710" 1122 318
"201" "NM_013333" 2355 409
"202" "NM_001771" 3268 657
"203" "NM_005315" 1033 414
"204" "NM_003411" 5239 2511
"205" "NM_017829" 1735 509
"206" "NM_000218" 3245 1105
"207" "NM_014555" 3929 421
"208" "NM_021643" 4391 1939
"209" "NM_017602" 2740 962
"210" "NM_015698" 1742 231
"211" "NM_014691" 9694 5009
"212" "" 1047 133
"213" "" 1047 569
"214" "NM_001311182" 1060 10
"215" "NM_001311182" 1060 25
"216" "NM_018414" 2570 566
"217" "NM_001289107" 2570 566
"218" "NM_001281454" 5518 4
"219" "NM_001281454" 5518 4562
"220" "NM_014583" 8405 7074
"221" "NM_006503" 1591 135
"222" "NM_017559" 1388 297
"223" "NM_172207" 2459 746
"224" "NM_014716" 2512 82
"225" "NM_001304777" 4209 3432
"226" "NM_016041" 4209 3432
"227" "NM_015718" 2042 26
"228" "NM_015718" 2042 204
"229" "NM_020959" 4152 293
"230" "NM_015015" 5593 2083
"231" "NM_001160300" 2964 1031
"232" "NM_002162" 1934 80
"233" "NM_020902" 3889 37
"234" "NM_033427" 5970 885
"235" "NM_016188" 1537 148
"236" "" 6111 604
"237" "NM_007317" 2113 74
"238" "NM_022119" 1386 365
"239" "NM_001712" 3519 1802
"240" "NM_022828" 6316 6
"241" "NM_022828" 6316 1802
"242" "NM_017814" 1820 314
"243" "NM_014567" 3221 480
"244" "NM_018416" 5523 2652
"245" "NM_001065" 2223 554
"246" "NM_005113" 2969 516
"247" "" 1510 40
"248" "" 1510 71
"249" "" 1510 53
"250" "" 1510 80
"251" "" 1510 102
"252" "" 1510 168
"253" "" 1510 116
"254" "NM_001407" 11956 1735
"255" "NM_006244" 2745 628
"256" "NM_005609" 3198 269
"257" "NM_005178" 2038 428
"258" "NM_001199860" 4273 2604
"259" "NM_004855" 2172 215
"260" "NM_001303516" 3689 1186
"261" "NM_032512" 3689 1186
"262" "NM_022912" 3857 3106
"263" "NM_005860" 2542 1690
"264" "NM_020526" 4943 1852
"265" "NM_004237" 2672 1016
"266" "NM_001142599" 2230 399
"267" "NM_014909" 5728 3996
"268" "" 1118 105
"269" "" 1118 281
"270" "NM_004524" 3480 301
"271" "NM_000526" 1662 155
"272" "NM_019010" 1737 419
"273" "" 3018 37
"274" "" 3018 122
"275" "" 3018 1020
"276" "NM_006944" 1024 9
"277" "NM_006944" 1024 289
"278" "NM_004493" 960 145
"279" "NM_002007" 3233 2292
"280" "" 2236 3
"281" "" 2236 76
"282" "" 2236 81
"283" "" 2236 29
"284" "" 2236 61
"285" "" 2236 113
"286" "" 2236 115
"287" "" 2236 87
"288" "" 2236 138
"289" "" 2236 82
"290" "" 2236 1082
"291" "NM_170678" 1126 142
"292" "NM_001031849" 2440 971
"293" "NM_173216" 4645 2749
"294" "NM_014177" 3095 2049
"295" "NM_025227" 1898 325
"296" "NM_020695" 4591 819
"297" "NM_014160" 2848 1459
"298" "NM_018025" 3492 381
"299" "NM_001257407" 3380 946
"300" "NM_203500" 2955 531
"301" "NM_014499" 1714 413
"302" "NM_022648" 10331 4669
"303" "NM_002507" 3417 2007
"304" "" 20634 420
"305" "NM_004822" 5954 4031
"306" "NM_016048" 1940 1026
"307" "NM_001039705" 4647 10
"308" "NM_001039705" 4647 227
"309" "NM_020310" 4996 2840
"310" "NM_006803" 3661 2121
"311" "NM_014713" 1765 554
"312" "NM_003817" 3367 1018
"313" "NM_183356" 2356 140
"314" "NM_014369" 3669 2184
"315" "NM_000797" 1375 102
"316" "" 3928 2023
"317" "NM_005990" 6060 2808
"318" "" 4537 601
"319" "NM_013351" 2572 752
"320" "NM_001300900" 1040 330
"321" "NM_001218" 6413 4906
"322" "NM_145160" 2347 372
"323" "NM_020375" 2782 1901
"324" "NM_019851" 1688 902
"325" "NM_004686" 3850 1831
"326" "NM_001872" 1717 427
"327" "NM_031453" 3785 2629
"328" "NM_003718" 7298 2153
"329" "NM_139022" 1318 217
"330" "NM_018099" 2095 278
"331" "NM_012288" 6908 5794
"332" "NM_016369" 3520 2507
"333" "NM_017578" 1614 633
"334" "NM_004547" 671 229
"335" "NM_022070" 3932 368
"336" "NM_015701" 2433 849
"337" "NM_001114086" 6023 4636
"338" "NM_015348" 6640 758
"339" "NM_016300" 3433 537
"340" "NM_033543" 1300 380
"341" "NM_024074" 2649 1657
"342" "" 3132 214
"343" "" 3132 296
"344" "" 3132 117
"345" "" 3132 148
"346" "" 3132 158
"347" "" 3132 31
"348" "" 3132 1843
"349" "NM_013360" 1598 79
"350" "NM_001031850" 1674 332
"351" "NM_022496" 2464 507
"352" "NM_002635" 1909 468
"353" "NM_213611" 1909 468
"354" "NM_001206992" 1630 152
"355" "NM_004460" 2780 288
"356" "NM_001322934" 3011 147
"357" "NM_001261403" 3011 147
"358" "NM_002502" 3011 147
"359" "NM_001166281" 2408 9
"360" "NM_001166280" 2408 9
"361" "NM_021240" 2183 725
"362" "NM_032523" 10513 7331
"363" "NM_003881" 1403 503
"364" "NM_001127695" 1898 369
"365" "NM_001009943" 1567 99
"366" "NM_022134" 1370 41
"367" "NM_017754" 9570 5075
"368" "" 1725 467
"369" "NM_014028" 4467 3375
"370" "NM_016247" 8337 4422
"371" "NM_001102" 3779 715
"372" "" 6088 1620
"373" "" 2203 0
"374" "" 2203 566
"375" "NM_022444" 3815 1986
"376" "NM_018938" 3825 1236
"377" "NM_018936" 4126 1515
"378" "NM_016126" 915 89
"379" "NM_018571" 2293 670
"380" "" 5198 90
"381" "" 5198 153
"382" "" 5198 77
"383" "" 5198 49
"384" "" 5198 155
"385" "" 5198 73
"386" "" 5198 154
"387" "" 5198 1767
"388" "" 5198 160
"389" "" 5198 91
"390" "" 5198 97
"391" "" 5198 151
"392" "" 5198 110
"393" "" 5198 113
"394" "" 5198 1455
"395" "" 6112 3220
"396" "NM_001256348" 4523 949
"397" "NM_001256718" 4434 9
"398" "NM_001256718" 4434 1400
"399" "NM_000302" 2940 728
"400" "NM_001146071" 3019 8
"401" "NM_001146071" 3019 265
"402" "NM_030794" 3019 8
"403" "NM_030794" 3019 265
"404" "NM_000436" 3388 1663
"405" "NM_014347" 3000 1243
"406" "NM_017879" 2561 552
"407" "NM_001009" 740 52
"408" "NM_020853" 4808 2818
"409" "NM_013439" 1316 191
"410" "NM_018427" 3762 1721
"411" "NM_025098" 1404 328
"412" "" 4084 1262
"413" "NM_000486" 4174 3272
"414" "NM_014473" 2859 1755
"415" "NM_001134335" 4469 2428
"416" "NM_014413" 4469 2428
"417" "NM_016616" 2312 14
"418" "NM_016616" 2312 157
"419" "NM_017549" 2599 1544
"420" "NM_006428" 1098 290
"421" "NM_005331" 536 72
"422" "NM_002483" 2700 39
"423" "NM_002483" 2700 1406
"424" "NM_018047" 2342 956
"425" "NM_002153" 1455 97
"426" "NM_001039538" 2241 120
"427" "NM_031847" 2241 120
"428" "NM_004724" 2992 506
"429" "NM_000213" 5919 262
"430" "NM_014330" 2378 83
"431" "NM_003302" 1942 150
"432" "NM_001318933" 4571 2091
"433" "NM_002390" 4571 2091
"434" "NM_002294" 1867 496
"435" "NM_003059" 2201 370
"436" "NM_000078" 1791 178
"437" "NM_005954" 569 138
"438" "NM_002820" 1872 1021
"439" "NM_003222" 2866 1269
"440" "NM_177973" 1295 18
"441" "NM_133180" 2536 307
"442" "" 971 222
"443" "NM_175850" 4255 1452
"444" "NM_014012" 1665 474
"445" "NM_030815" 1998 1464
"446" "NM_001258331" 3514 1000
"447" "NM_015316" 4958 1401
"448" "NM_198994" 2292 109
"449" "NM_020343" 6152 34
"450" "NM_020343" 6152 486
"451" "NM_000970" 947 24
"452" "NM_001276380" 3216 551
"453" "NM_016649" 3216 551
"454" "NM_024959" 2975 1009
"455" "NM_001009925" 1472 950
"456" "NM_016816" 1816 349
"457" "NM_012240" 1217 212
"458" "NM_015939" 2327 701
"459" "NM_015302" 4283 2355
"460" "NM_003365" 1985 124
"461" "NM_016573" 3538 486
"462" "NM_002286" 1974 62
"463" "" 1969 24
"464" "" 1969 551
"465" "NM_023112" 3922 3007
"466" "NM_003573" 5032 267
"467" "NM_003223" 2215 868
"468" "NM_005707" 2851 1337
"469" "NM_016630" 1822 598
"470" "NM_001304473" 3521 406
"471" "NM_001304474" 3521 406
"472" "NM_003741" 3521 406
"473" "NM_000460" 1855 577
"474" "NM_001289998" 1855 577
"475" "NM_001290028" 1855 577
"476" "NM_001278637" 1046 20
"477" "NM_001278637" 1046 216
"478" "NM_001278638" 1046 20
"479" "NM_001278638" 1046 216
"480" "NM_032520" 1983 1021
"481" "NM_005895" 9252 4195
"482" "NM_004429" 3314 1492
"483" "NM_012201" 8261 4628
"484" "" 4209 444
"485" "NM_016941" 2332 467
"486" "NM_020378" 1536 611
"487" "NM_181806" 3590 111
"488" "NM_001318046" 5857 490
"489" "NM_000108" 3755 1943
"490" "NM_001171" 5747 1204
"491" "NM_017801" 3863 2647
"492" "NM_016239" 11863 931
"493" "NM_000042" 1176 99
"494" "NM_004890" 1058 305
"495" "NM_001291230" 6458 4307
"496" "NM_001122741" 6458 4307
"497" "NM_001291241" 6458 4307
"498" "NM_000125" 6458 4307
"499" "NM_012419" 1636 851
"500" "NM_032376" 1536 736
"501" "NM_199511" 12430 8622
"502" "NM_001308083" 633 9
"503" "NM_001281529" 1006 150
"504" "NM_006263" 1006 150
"505" "" 1642 296
"506" "NM_001805" 1554 182
"507" "NM_017807" 2002 571
"508" "NM_020372" 2284 329
"509" "NM_017769" 5804 3528
"510" "NM_000359" 2777 198
"511" "NM_152380" 3492 1685
"512" "NM_014466" 1509 88
"513" "NM_199242" 4393 739
"514" "" 1319 72
"515" "" 1319 480
"516" "NM_005108" 3664 1962
"517" "NM_001004713" 1242 87
"518" "NM_000673" 2289 886
"519" "NM_000667" 1499 256
"520" "NM_015515" 1987 292
"521" "NM_001254" 4810 2655
"522" "NM_015665" 1840 32
"523" "NM_012117" 11528 10814
"524" "NM_014458" 3421 1454
"525" "NM_001460" 3851 2084
"526" "NM_001930" 1363 116
"527" "NM_014353" 1675 743
"528" "NM_005047" 3443 1852
"529" "NM_018946" 1170 19
"530" "NM_017893" 4094 1483
"531" "NM_012217" 1499 621
"532" "NM_000847" 902 166
"533" "NM_002754" 2052 691
"534" "NM_014051" 992 538
"535" "NM_022551" 613 43
"536" "NM_001199237" 2793 1036
"537" "NM_080703" 3779 102
"538" "NM_080702" 3779 102
"539" "NM_006295" 4312 75
"540" "NM_030651" 1909 862
"541" "" 504 224
"542" "NM_001318892" 3101 559
"543" "NM_007149" 3101 559
"544" "NM_014000" 5482 1982
"545" "NM_012238" 4094 1796
"546" "NM_003243" 6465 3393
"547" "NM_006858" 1340 556
"548" "NM_198055" 2905 138
"549" "NM_024578" 1133 293
"550" "" 1553 433
"551" "NM_052874" 4664 3564
"552" "NM_004765" 1740 69
"553" "NM_001405" 949 291
"554" "NM_001687" 997 388
"555" "" 834 306
"556" "" 834 95
"557" "" 4595 696
"558" "NM_001143" 802 154
"559" "NM_020637" 1311 766
"560" "NM_001136503" 1329 856
"561" "NM_004970" 2116 186
"562" "NM_001005415" 1376 464
"563" "NM_016496" 1376 464
"564" "NM_004146" 531 54
"565" "NM_138501" 1171 106
"566" "NM_012458" 1973 1323
"567" "NM_004359" 1471 539
"568" "NM_173481" 2871 727
"569" "" 1286 53
"570" "" 1286 557
"571" "NM_015675" 1373 657
"572" "NM_130760" 1572 376
"573" "NM_002969" 1918 497
"574" "NM_000185" 2437 653
"575" "NM_004782" 4287 3381
"576" "NM_006767" 4572 1689
"577" "NM_030573" 1213 107
"578" "NM_005940" 2291 771
"579" "NM_002415" 939 119
"580" "NM_001084393" 1545 1125
"581" "NM_020530" 1854 1053
"582" "NM_031937" 2077 384
"583" "NM_005877" 5143 2605
"584" "NM_017414" 2129 579
"585" "" 1651 620
"586" "NM_174975" 2086 791
"587" "NM_001278656" 1763 794
"588" "NM_004175" 1763 794
"589" "NM_002745" 11022 8
"590" "NM_002745" 11022 9740
"591" "NM_000355" 2535 756
"592" "NM_004076" 867 150
"593" "NM_014941" 4469 191
"594" "NM_001256534" 1648 554
"595" "NM_005984" 1648 554
"596" "NM_015715" 2697 913
"597" "NM_006498" 591 16
"598" "NM_020315" 2010 1062
"599" "NM_020437" 3357 1808
"600" "NM_002305" 560 56
"601" "NM_052880" 2467 1490
"602" "NM_001013694" 4020 2985
"603" "NM_032051" 2516 727
"604" "NM_001887" 1102 211
"605" "NM_138797" 2184 1087
"606" "" 1630 978
"607" "NM_033386" 4710 1991
"608" "NM_024053" 966 334
"609" "NM_006855" 1728 910
"610" "NM_007068" 2371 1070
"611" "NM_172002" 1114 340
"612" "NM_015373" 1133 617
"613" "NM_020243" 2040 1579
"614" "NM_014433" 1291 46
"615" "NM_005080" 1850 990
"616" "NM_014306" 2027 409
"617" "NM_014876" 3648 2358
"618" "NM_004286" 5126 2882
"619" "" 3415 143
"620" "NM_005740" 1504 940
"621" "NM_015370" 995 69
"622" "NM_017584" 1130 197
"623" "" 2658 439
"624" "NM_001303494" 3191 1979
"625" "NM_012265" 1794 207
"626" "NM_152426" 2528 959
"627" "NM_006477" 1490 367
"628" "NM_001003681" 4047 2112
"629" "NM_001197" 953 406
"630" "NM_002133" 1822 615
"631" "NM_003634" 2237 1126
"632" "NM_001202502" 2237 1126
"633" "NM_006739" 3534 1174
"634" "NM_000487" 2050 126
"635" "NM_014310" 3412 1968
"636" "NM_015140" 3385 1385
"637" "NM_175709" 4081 3118
"638" "NM_001097" 1433 126
"639" "NM_182527" 3259 2269
"640" "NM_000967" 1442 55
"641" "NM_001033853" 1442 55
"642" "" 497 77
"643" "NM_006116" 3237 1659
"644" "NM_138814" 2539 1115
"645" "NM_025225" 2805 1185
"646" "NM_002473" 7501 1386
"647" "NM_012473" 1736 767
"648" "NM_024955" 3933 1765
"649" "NM_003753" 2155 136
"650" "" 1620 91
"651" "NM_002854" 595 205
"652" "NM_006953" 1051 154
"653" "NM_001104595" 3458 1549
"654" "NM_001278589" 3595 2002
"655" "NM_003932" 3595 2002
"656" "NM_000878" 4113 2257
"657" "NM_014248" 1188 820
"658" "NM_031488" 3296 1019
"659" "NM_138481" 2533 190
"660" "NM_032758" 1086 680
"661" "NM_001098" 2741 375
"662" "NM_002676" 1298 423
"663" "NM_022766" 4450 2722
"664" "" 4614 949
"665" "NM_014838" 6893 2899
"666" "NM_032019" 2687 323
"667" "NM_006871" 1930 153
"668" "NM_032632" 4519 2060
"669" "NM_001293627" 4519 2060
"670" "NM_005348" 3379 973
"671" "NM_007361" 4811 682
"672" "NM_001128920" 2911 598
"673" "NM_003082" 2656 1444
"674" "NM_007192" 4684 1200
"675" "" 716 2
"676" "" 716 255
"677" "" 1684 597
"678" "NM_001911" 886 80
"679" "NM_001270780" 909 122
"680" "NM_033423" 909 122
"681" "NM_004131" 968 116
"682" "NM_001282954" 2271 373
"683" "NM_001282953" 2271 373
"684" "NM_001135058" 2397 347
"685" "NM_007077" 2256 1567
"686" "NM_002692" 1776 91
"687" "NM_006939" 5498 1223
"688" "NM_001282236" 2209 732
"689" "NM_002863" 3048 170
"690" "NM_198066" 3860 3116
"691" "NM_005776" 4793 4253
"692" "NM_006568" 2057 925
"693" "NM_015994" 1845 549
"694" "NM_018168" 3082 2053
"695" "NM_001283059" 3082 2053
"696" "NM_001283058" 3082 2053
"697" "NM_016445" 1549 345
"698" "" 1647 26
"699" "" 1647 85
"700" "" 1647 194
"701" "" 1647 95
"702" "" 1647 146
"703" "" 1647 107
"704" "" 1647 82
"705" "" 1647 177
"706" "NM_004569" 1420 768
"707" "NM_002788" 970 111
"708" "" 1103 141
"709" "" 1103 58
"710" "" 1103 191
"711" "" 1103 173
"712" "" 1103 61
"713" "" 1103 217
"714" "NM_145870" 1338 401
"715" "NM_213601" 7784 6749
"716" "NM_001010860" 2564 252
"717" "NM_012111" 1402 224
"718" "" 3045 14
"719" "" 3045 242
"720" "" 3045 242
"721" "" 3045 345
"722" "" 3045 140
"723" "" 3045 83
"724" "" 3045 1718
"725" "NM_004863" 8170 6286
"726" "NM_024832" 3859 741
"727" "NM_006020" 2594 1407
"728" "NM_001275" 2063 408
"729" "" 2322 845
"730" "NM_017420" 6285 3878
"731" "" 1606 19
"732" "NM_003049" 2049 864
"733" "NM_001969" 5945 3972
"734" "NM_001130417" 2916 1691
"735" "NM_001198953" 1521 649
"736" "NM_005956" 3136 3
"737" "NM_005956" 3136 245
"738" "NM_000710" 1687 18
"739" "NM_003384" 1745 404
"740" "" 4182 58
"741" "" 4182 124
"742" "" 4182 138
"743" "" 4182 137
"744" "" 4182 127
"745" "" 4182 108
"746" "" 4182 166
"747" "" 4182 870
"748" "NM_001244249" 1484 258
"749" "NM_001641" 1484 258
"750" "NM_004643" 2001 898
"751" "NM_005864" 3118 823
"752" "NM_032630" 955 274
"753" "NM_003136" 2279 412
"754" "NM_004563" 2357 165
"755" "NM_020529" 1558 501
"756" "NM_016049" 835 44
"757" "NM_002818" 1404 43
"758" "NM_032352" 2657 1485
"759" "NM_002687" 3576 1354
"760" "NM_182836" 2088 76
"761" "NM_000782" 3262 9
"762" "NM_000782" 3262 1312
"763" "NM_080840" 3725 942
"764" "NM_016143" 3568 1586
"765" "NM_018197" 3264 867
"766" "NM_001322494" 1922 397
"767" "NM_000178" 1922 397
"768" "NM_002862" 4134 1491
"769" "NM_006404" 1348 548
"770" "NM_002466" 2639 408
"771" "NM_178491" 1377 442
"772" "" 1851 5
"773" "" 1263 187
"774" "" 670 113
"775" "NM_020436" 5208 1933
"776" "NM_001033521" 4290 2641
"777" "NM_001324" 4290 2641
"778" "NM_001033522" 4290 2641
"779" "NM_199360" 2362 1599
"780" "NM_001336" 1495 463
"781" "NM_030773" 3496 1870
"782" "NM_016354" 2776 401
"783" "" 2453 763
"784" "NM_139317" 1368 4
"785" "NM_139317" 1368 251
"786" "NM_001267584" 4631 2532
"787" "NM_014948" 4631 2532
"788" "NM_001958" 2006 284
"789" "NM_001256358" 2401 142
"790" "NM_001256358" 2401 161
"791" "NM_001256358" 2401 181
"792" "NM_001256358" 2401 153
"793" "NM_001256358" 2401 1298
"794" "NM_080823" 1516 7
"795" "NM_001039140" 1302 549
"796" "NM_021158" 2499 868
"797" "NM_001301196" 2499 868
"798" "NM_001301188" 2499 868
"799" "NM_001301193" 2499 868
"800" "NM_001301190" 2499 868
"801" "NM_177559" 4416 2863
"802" "NM_080676" 4994 3320
"803" "" 2654 945
"804" "NM_001029871" 2707 1904
"805" "NM_017671" 5151 2327
"806" "NM_024411" 2555 1563
"807" "NM_001190898" 2555 1563
"808" "" 4032 1813
"809" "NM_080628" 2083 16
"810" "NM_080628" 2083 1373
"811" "NM_001304783" 2083 16
"812" "NM_001304783" 2083 1373
"813" "NM_003098" 2342 551
"814" "NM_000915" 513 98
"815" "" 979 440
"816" "NM_176812" 1646 805
"817" "NM_004139" 1961 353
"818" "NM_080552" 2574 732
"819" "NM_001899" 751 253
"820" "" 356 20
"821" "NM_000687" 2143 765
"822" "NM_006652" 476 189
"823" "NM_030919" 2425 535
"824" "NM_080476" 1632 323
"825" "NM_005469" 1168 116
"826" "NM_020531" 2430 887
"827" "NM_004786" 6894 5818
"828" "NM_006471" 1229 317
"829" "NM_017831" 6020 4828
"830" "" 2289 251
"831" "NM_013955" 1734 115
"832" "NM_003187" 1283 197
"833" "NM_004135" 1485 105
"834" "NM_145305" 2783 1412
"835" "NM_001002916" 894 21
"836" "NM_001002916" 894 316
"837" "NM_015419" 9793 1150
"838" "NM_182607" 2997 1715
"839" "NM_002814" 1546 766
"840" "NM_001320750" 6521 4548
"841" "NM_001320751" 6521 4548
"842" "NM_001320752" 6521 4548
"843" "NM_001320753" 6521 4548
"844" "NM_001320754" 6521 4548
"845" "NM_000351" 6521 4548
"846" "NM_005647" 5871 3496
"847" "NM_006667" 1911 1211
"848" "NM_139282" 769 138
"849" "NM_018698" 2692 1995
"850" "NM_001522" 3714 0
"851" "NM_001522" 3714 93
"852" "NM_001142447" 3868 2736
"853" "NM_138636" 4216 1002
"854" "NM_017883" 2124 160
"855" "NM_001166426" 2124 160
"856" "NM_007003" 499 110
"857" "NM_001118885" 3216 1326
"858" "NM_002063" 3216 1326
"859" "NM_001042749" 5218 900
"860" "NM_000133" 2780 1386
"861" "NM_000033" 3664 1026
"862" "" 6860 1526
"863" "NM_004979" 4437 1194
"864" "" 1616 410
"865" "NM_001185076" 4333 2267
"866" "NM_005710" 1113 57
"867" "NM_013271" 1050 165
"868" "NM_001031834" 1029 144
"869" "NM_004224" 1951 27
"870" "NM_006915" 3803 2588
"871" "NM_004651" 3338 396
"872" "NM_014500" 2775 332
"873" "NM_003254" 892 97
"874" "" 1780 1408
"875" "NM_198510" 4968 995
"876" "" 1958 11
"877" "NM_000169" 1318 5
"878" "NM_001185085" 3732 260
"879" "" 4625 1
"880" "" 4625 3559
"881" "NM_001111035" 1630 349
"882" "" 5233 2617
"883" "NM_000231" 1624 623
"884" "NM_024705" 1970 1128
"885" "NM_006418" 2897 1285
"886" "" 1988 112
"887" "NM_002528" 1067 108
"888" "NM_005741" 3830 901
"889" "NM_004530" 3741 1248
"890" "NM_001042428" 1947 157
"891" "NM_014321" 1628 808
"892" "NM_001320541" 2865 1407
"893" "NM_001320540" 2865 1407
"894" "NM_001320542" 2865 1407
"895" "NM_025187" 2865 1407
"896" "NM_007074" 1803 111
