Ensembl Transcript ID	RefSeq mRNA [e.g. NM_001195597]	Transcript length (including UTRs and CDS)
ENST00000634385		409
ENST00000631964	NM_001300891	1863
ENST00000634064		1600
ENST00000632559	NM_001310134	1863
ENST00000634012		1840
ENST00000628182	NM_002336	10020
ENST00000625211		7812
ENST00000626957		593
ENST00000626698		4774
ENST00000626446		473
ENST00000627346		435
ENST00000626182		562
ENST00000633863	NM_001146181	1148
ENST00000625528	NM_198489	1202
ENST00000628008		885
ENST00000626384		1295
ENST00000626123		1119
ENST00000627452		588
ENST00000631067		562
ENST00000627310		1482
ENST00000628294		551
ENST00000630855		1781
ENST00000626062		1140
ENST00000633810	NM_001136561	1148
ENST00000633532	NM_001306072	1863
ENST00000633805	NM_001302551	882
ENST00000633914	NM_001010890	1863
ENST00000632307	NM_001099850	2104
ENST00000633074	NM_001013407	1720
ENST00000631368		508
ENST00000630540		711
ENST00000628770	NM_001028	835
ENST00000628755		1462
ENST00000629062		1078
ENST00000631084		189
ENST00000632222	NM_001012276	1844
ENST00000632952		1706
ENST00000631760		1592
ENST00000625469	NM_001003892	663
ENST00000629245	NM_018050	5831
ENST00000626912		2220
ENST00000631077		1501
ENST00000628134		496
ENST00000633191		1600
ENST00000632181		1865
ENST00000625206	NM_001300742	580
ENST00000627374	NM_058169	4840
ENST00000626671		554
ENST00000627461		549
ENST00000631823	NM_001099790	2125
ENST00000633764		1339
ENST00000626413	NM_030640	5253
ENST00000628303		3402
ENST00000630190		554
ENST00000626461		566
ENST00000629698		585
ENST00000627160		258
ENST00000629243	NM_016146	1759
ENST00000630172		569
ENST00000631071		980
ENST00000627703		583
ENST00000630169		654
ENST00000629713		794
ENST00000628720		1135
ENST00000625526		849
ENST00000625680		1209
ENST00000626820		768
ENST00000630040		817
ENST00000629772		69
ENST00000626997		1340
ENST00000630535		1924
ENST00000630544		392
ENST00000629267	NM_001143832	671
ENST00000631090		2724
ENST00000625757	NM_004714	2535
ENST00000625388	NM_006484	2448
ENST00000625438		1806
ENST00000627034	NM_006483	2007
ENST00000629412		446
ENST00000626964		657
ENST00000630714		772
ENST00000630669	NM_001130991	4529
ENST00000630669	NM_006389	4529
ENST00000628429		3057
ENST00000629227		1569
ENST00000627731		4360
ENST00000629679		2162
ENST00000629353		3358
ENST00000628252		809
ENST00000631342		319
ENST00000625612		2464
ENST00000630070		2023
ENST00000631049		2357
ENST00000628974		711
ENST00000627494		862
ENST00000626576		550
ENST00000628600		582
ENST00000631124		694
ENST00000628120		629
ENST00000630419		549
ENST00000629694		549
ENST00000629044		552
ENST00000626494		491
ENST00000626418		568
ENST00000630954		896
ENST00000625241	NM_001436	1160
ENST00000630901		628
ENST00000629964		805
ENST00000629606		732
ENST00000630592		877
ENST00000627797		726
ENST00000625673		581
ENST00000629471		1400
ENST00000628079		603
ENST00000629982		500
ENST00000627769		111
ENST00000629691	NM_006503	1591
ENST00000626754		1532
ENST00000630857	NM_153001	1333
ENST00000629210		1623
ENST00000625352		929
ENST00000627952		650
ENST00000627810		589
ENST00000631242		626
ENST00000629260		714
ENST00000625917		490
ENST00000628247		561
ENST00000627583	NM_001297763	3426
ENST00000626389	NM_178544	7987
ENST00000626141		396
ENST00000626396		542
ENST00000625684		8665
ENST00000627167	NM_001005851	8664
ENST00000630970		3538
ENST00000628151		401
ENST00000626348		393
ENST00000626502		444
ENST00000627835		509
ENST00000629480		7500
ENST00000630440	NM_001142579	2396
ENST00000628273	NM_001010880	3674
ENST00000628273	NM_001142578	3674
ENST00000630528	NM_001142577	3600
ENST00000626829		3472
ENST00000626168		2044
ENST00000625733		546
ENST00000630978		446
ENST00000628727		665
ENST00000626417		467
ENST00000627069		498
ENST00000626621	NM_021729	3313
ENST00000629865	NM_001290185	3388
ENST00000629400		3352
ENST00000630977		2739
ENST00000627344		576
ENST00000630109		1952
ENST00000629256		542
ENST00000628095		585
ENST00000626755		626
ENST00000628705	NM_003890	16389
ENST00000625225		441
ENST00000628808		581
ENST00000630018		1282
ENST00000627066		1501
ENST00000629519		507
ENST00000628117		1559
ENST00000630574		1469
ENST00000626469		562
ENST00000631122		708
ENST00000630689		1548
ENST00000627143		936
ENST00000629841		1544
ENST00000629150		1351
ENST00000628160		832
ENST00000625884		1347
ENST00000626431		1155
ENST00000630812		755
ENST00000628302		882
ENST00000629976		1796
ENST00000628945		2112
ENST00000627967		1411
ENST00000625306		695
ENST00000629844		547
ENST00000626599		1542
ENST00000626488		845
ENST00000631372	NM_001467	2604
ENST00000631372	NM_001164280	2604
ENST00000631372	NM_001164279	2604
ENST00000631372	NM_001164278	2604
ENST00000631372	NM_001164277	2604
ENST00000634970	NM_001321967	4640
ENST00000634773		2939
ENST00000635683		671
ENST00000635228	NM_014772	5750
ENST00000634350	NM_001142397	4407
ENST00000635283		491
ENST00000635367		859
ENST00000634755		683
ENST00000634324		584
ENST00000634463		564
ENST00000634981		547
ENST00000635632		2940
ENST00000635468		952
ENST00000635580		412
ENST00000635224	NM_001126049	4278
ENST00000635927		8164
ENST00000634767	NM_000314	8700
ENST00000634767	NM_001304717	8700
ENST00000636590		1074
ENST00000637139		755
ENST00000637604		714
ENST00000636262		738
ENST00000636156		838
ENST00000636832		421
ENST00000636338		340
ENST00000634649		18699
ENST00000634625		535
ENST00000634743		7894
ENST00000634894		581
ENST00000634756		481
ENST00000634703		19030
ENST00000635246		443
ENST00000634395		2700
ENST00000634814		1363
ENST00000634456		2654
ENST00000634494	NM_007181	2653
ENST00000634494	NM_001042600	2653
ENST00000635583		232
ENST00000634475		1625
ENST00000634660		610
ENST00000634236		1225
ENST00000635240		557
ENST00000634864		588
ENST00000635447		757
ENST00000635132		575
ENST00000634999		545
ENST00000634472		404
ENST00000635128		4798
ENST00000634875	NM_001290253	2012
ENST00000634541		3710
ENST00000635263		1532
ENST00000634466		3768
ENST00000634851		960
ENST00000634249		1109
ENST00000634779		2388
ENST00000634521		534
ENST00000634859		671
ENST00000634822		552
ENST00000634717		555
ENST00000634887		561
ENST00000635139		589
ENST00000635004		552
ENST00000634562		4083
ENST00000635454	NM_015525	6054
ENST00000634741		5547
ENST00000635425		2520
ENST00000634524		3663
ENST00000635314		5195
ENST00000634585		5239
ENST00000634695		3560
ENST00000635384	NM_001300906	4109
ENST00000634571		721
ENST00000634402		4437
ENST00000634774		7415
ENST00000635672		6225
ENST00000635039		6398
ENST00000634409		4389
ENST00000635181		4193
ENST00000635378		4791
ENST00000634856		3694
ENST00000635471		3555
ENST00000634578		3045
ENST00000634550		568
ENST00000634294		972
ENST00000634269		2138
ENST00000635202		588
ENST00000634863		556
ENST00000634656		2247
ENST00000634830		834
ENST00000635089		622
ENST00000635055		589
ENST00000635354		285
ENST00000635147		306
ENST00000635787		306
ENST00000634230		780
ENST00000634474	NM_001308393	760
ENST00000635567	NM_013234	864
ENST00000634428		667
ENST00000635266		704
ENST00000634857		966
ENST00000634882		501
ENST00000635417		1327
ENST00000635568		507
ENST00000634969		493
ENST00000634420		583
ENST00000634491	NM_001300992	670
ENST00000634667		524
ENST00000635429		711
ENST00000634817	NM_006670	3392
ENST00000635036		6484
ENST00000634826	NM_001166392	2881
ENST00000635260		1729
ENST00000634960	NM_004924	4963
ENST00000634692		2102
ENST00000634682		441
ENST00000634514		1566
ENST00000635701		586
ENST00000635153		546
ENST00000635294		654
ENST00000635719		3180
ENST00000635521		877
ENST00000635695		544
ENST00000633701	NM_173471	2673
ENST00000632575	NM_001164796	1023
ENST00000634032		3879
ENST00000633238		1096
ENST00000632740		1840
ENST00000633644		375
ENST00000634448	NM_002307	483
ENST00000635222		532
ENST00000634800	NM_001042507	466
ENST00000634993		565
ENST00000634958		691
ENST00000634573	NM_006149	1535
ENST00000635267		661
ENST00000634443		413
ENST00000634545		969
ENST00000635410		1345
ENST00000635640		491
ENST00000635059		328
ENST00000634874		566
ENST00000631853		5273
ENST00000633161		5283
ENST00000632666		4129
ENST00000632591		2336
ENST00000631562		580
ENST00000631537		598
ENST00000633144		689
ENST00000631476		504
ENST00000631776		409
ENST00000634928		710
ENST00000634245	NM_001398	1411
ENST00000635650		919
ENST00000634770		799
ENST00000634809		882
ENST00000635068		677
ENST00000634897		1007
ENST00000634279		786
ENST00000634458		553
ENST00000635118		560
ENST00000634821		343
ENST00000634496		356
ENST00000634273		440
ENST00000635363		135
ENST00000634714		169
ENST00000635053		308
ENST00000634309		209
ENST00000634693		963
ENST00000635188		342
ENST00000634753	NM_001533	2471
ENST00000635653		2122
ENST00000634426		588
ENST00000634312		1918
ENST00000634983		1952
ENST00000635402		2404
ENST00000635268		3094
ENST00000634237	NM_001005335	1633
ENST00000634320		447
ENST00000635372		900
ENST00000635716		1127
ENST00000634376		659
ENST00000635025		593
ENST00000635111		624
ENST00000634655		1810
ENST00000635328	NM_198445	1846
ENST00000634669		2290
ENST00000635542	NM_001195833	1910
ENST00000634567		533
ENST00000634563		346
ENST00000635411		186
ENST00000634936		543
ENST00000635119		504
ENST00000634378		596
ENST00000634707	NM_001193286	1912
ENST00000635261		4734
ENST00000635086		2539
ENST00000634533	NM_012237	2070
ENST00000635478	NM_030593	2062
ENST00000634328		1170
ENST00000634746		606
ENST00000635078		1251
ENST00000635486		927
ENST00000635694		985
ENST00000634637		890
ENST00000634932		848
ENST00000634572		619
ENST00000635209		584
ENST00000635627		556
ENST00000634761		556
ENST00000635338		555
ENST00000635192		578
ENST00000634295		618
ENST00000635236		820
ENST00000634995	NM_001243116	991
ENST00000634647		1929
ENST00000635399		543
ENST00000635416		2200
ENST00000635517	NM_002503	1159
ENST00000635007		570
ENST00000635114	NM_001243212	1057
ENST00000634476		690
ENST00000634687	NM_017827	2057
ENST00000634916		1631
ENST00000635472		1886
ENST00000635594		665
ENST00000635245	NM_001145901	1630
ENST00000634277		308
ENST00000634481		1118
ENST00000635427		506
ENST00000634455		498
ENST00000635291		536
ENST00000635040		541
ENST00000635237		1022
ENST00000635353		565
ENST00000634460		1967
ENST00000634246	NM_033362	1207
ENST00000635592		641
ENST00000634704	NM_021107	1220
ENST00000634400	NM_033363	929
ENST00000634982	NM_024907	2386
ENST00000634554		2222
ENST00000635115	NM_148169	1299
ENST00000635610		932
ENST00000634720		935
ENST00000634917		510
ENST00000635016		2366
ENST00000635718		300
ENST00000635513		2130
ENST00000635475		2330
ENST00000634370		1557
ENST00000635313		771
ENST00000634678		462
ENST00000635643		508
ENST00000635148	NM_144691	3129
ENST00000638103		25116
ENST00000637661		3194
ENST00000636626		2582
ENST00000636211		1937
ENST00000636470		1423
ENST00000636416		550
ENST00000637408		588
ENST00000637621		508
ENST00000637470		558
ENST00000635762		502
ENST00000637362		2159
ENST00000636862		987
ENST00000636109		1433
ENST00000637385		708
ENST00000636303		428
ENST00000636545		8006
ENST00000636924		656
ENST00000636132		404
ENST00000636890		553
ENST00000625920	NM_153444	1069
ENST00000630502	NM_153445	936
ENST00000626843	NM_001003745	1061
ENST00000625327	NM_176821	2350
ENST00000625936		423
ENST00000632788	NM_001277308	1899
ENST00000631579		652
ENST00000636567		17448
ENST00000635818		7094
ENST00000626223		7540
ENST00000628056		1254
ENST00000630137		1072
ENST00000626931		739
ENST00000626278		454
ENST00000627834		2110
ENST00000628952		609
ENST00000629098		485
ENST00000637471		893
ENST00000625834		1080
ENST00000630201		1256
ENST00000627617	NM_002490	1183
ENST00000628198		475
ENST00000637747		1275
ENST00000637280		1275
ENST00000635821		1275
ENST00000636733		1275
ENST00000636328		1275
ENST00000636423		1275
ENST00000637597		1275
ENST00000636763		1275
ENST00000637641		1275
ENST00000637899		1275
ENST00000632219	NM_001144757	1238
ENST00000632674	NM_003020	1235
ENST00000632955		1148
ENST00000633420		949
ENST00000633221		659
ENST00000631581		401
ENST00000633996		612
ENST00000633591		853
ENST00000632972		867
ENST00000638095		1275
ENST00000637517	NM_001306068	1710
ENST00000628774	NM_005650	7410
ENST00000626486	NM_181492	6237
ENST00000631350		1058
ENST00000630248		633
ENST00000625749		1657
ENST00000629176		1408
ENST00000632802	NM_013372	14606
ENST00000633992		623
ENST00000632478	NM_001191323	2648
ENST00000636783	NM_001282472	1951
ENST00000632335	NM_000746	2071
ENST00000632335	NM_001190455	2071
ENST00000633373	NM_001039841	1012
ENST00000635923	NM_001282494	1899
ENST00000635854		1839
ENST00000633634	NM_001286479	5898
ENST00000633634	NM_001286480	5898
ENST00000633634	NM_014783	5898
ENST00000633634	NM_199357	5898
ENST00000630793		1187
ENST00000630716	NM_000106	1684
ENST00000625898		1714
ENST00000626412		2257
ENST00000629640	NM_001025161	1433
ENST00000626726	NM_005650	7410
ENST00000629538	NM_181492	6237
ENST00000626821		1058
ENST00000628031		633
ENST00000627727		1657
ENST00000625759		1504
ENST00000630405		1657
ENST00000626205		1408
ENST00000635174		1066
ENST00000636332		1863
ENST00000634454		1106
ENST00000634351		1101
ENST00000635401		626
ENST00000634924		809
ENST00000634525		873
ENST00000634698		484
ENST00000635396		814
ENST00000635560		679
ENST00000635090		860
ENST00000635038		378
ENST00000634438		5332
ENST00000635308		4784
ENST00000635242		795
ENST00000635715		792
ENST00000634361		699
ENST00000635196		760
ENST00000635566		568
ENST00000634261		943
ENST00000634449		707
ENST00000634272		453
ENST00000613225		1600
ENST00000635813		1863
ENST00000636290		1840
ENST00000634616	NM_005650	7410
ENST00000635421	NM_181492	6237
ENST00000635629		1058
ENST00000635601		633
ENST00000635686		598
ENST00000635437	NM_003154	598
ENST00000634442		782
ENST00000635300		735
ENST00000634727	NM_001009181	534
ENST00000634850		808
ENST00000634419		645
ENST00000635307		584
ENST00000634780	NM_001287802	1966
ENST00000634780	NM_003193	1966
ENST00000634751	NM_001079515	2012
ENST00000635692	NM_001287801	2117
ENST00000635485		1050
ENST00000634885		1840
ENST00000634689		567
ENST00000635014		463
ENST00000635505		1187
ENST00000634240	NM_000106	1684
ENST00000635028		1714
ENST00000635201		2257
ENST00000634653	NM_001025161	1433
ENST00000617044		1148
ENST00000634492		557
ENST00000635150	NM_001102399	7646
ENST00000635150	NM_001297621	7646
ENST00000635150	NM_001102397	7646
ENST00000634713	NM_001102398	2691
ENST00000635623		1637
ENST00000634263	NM_005826	2694
ENST00000634766		2629
ENST00000635199	NM_001297622	1837
ENST00000634634	NM_001297620	1788
ENST00000634952		837
ENST00000634808		560
ENST00000634427		814
ENST00000634921		612
ENST00000635707		51
ENST00000633387		1148
ENST00000634470		1657
ENST00000635319		1564
ENST00000634748		1411
ENST00000634949	NM_000200	578
ENST00000635585		775
ENST00000634709		739
ENST00000634858		631
ENST00000634893		599
ENST00000635125		493
ENST00000635381		15719
ENST00000634869		4479
ENST00000635582		531
ENST00000635095		592
ENST00000635131		4614
ENST00000635069		1876
ENST00000634629		554
ENST00000635262		3091
ENST00000634827		525
ENST00000635365		2792
ENST00000634745		3685
ENST00000634268		3152
ENST00000634415		2595
ENST00000634515		1518
ENST00000634392		3058
ENST00000634987		2953
ENST00000635523		634
ENST00000635066		557
ENST00000635355		2480
ENST00000635049		714
ENST00000635596		688
ENST00000634726		609
ENST00000634434		540
ENST00000636185		1863
ENST00000634696		2103
ENST00000634867		2013
ENST00000634532		5612
ENST00000635093		5524
ENST00000635651		5509
ENST00000635149		467
ENST00000634493		635
ENST00000635061		6878
ENST00000635362		6797
ENST00000637294		882
ENST00000634500	NM_145252	831
ENST00000635502		1468
ENST00000635116		601
ENST00000634483		587
ENST00000634234		582
ENST00000634906		716
ENST00000637423		1863
ENST00000618079		1720
ENST00000635327	NM_002159	580
ENST00000635655		598
ENST00000635569		623
ENST00000634477		536
ENST00000634797		3723
ENST00000636073		1844
ENST00000637989		1706
ENST00000637866		1592
ENST00000634825		3492
ENST00000635050		6779
ENST00000634250		617
ENST00000635544		3117
ENST00000634599		475
ENST00000634397		6874
ENST00000634615		7436
ENST00000636552		992
ENST00000634552		936
ENST00000634511	NM_022119	1349
ENST00000634299		1275
ENST00000633076		1600
ENST00000638044		1865
ENST00000635400	NM_001077195	4071
ENST00000635349	NM_030634	3788
ENST00000634546		667
ENST00000634530		3007
ENST00000634325	NM_214711	3127
ENST00000635689		4784
ENST00000634747		641
ENST00000636272	NM_001100631	1446
ENST00000635453	NM_152490	2015
ENST00000635483		578
ENST00000634581		315
ENST00000635195		2920
ENST00000635244	NM_001277155	1874
ENST00000635360		1869
ENST00000635470		395
ENST00000635035	NM_003196	1559
ENST00000635497		855
ENST00000634832		1197
ENST00000635356		713
ENST00000635366		575
ENST00000634793		441
ENST00000632024		13529
ENST00000631811		12355
ENST00000633180		4251
ENST00000631756		4260
ENST00000632396		570
ENST00000632613		393
ENST00000632025		699
ENST00000631673		576
ENST00000633118		570
ENST00000631469		4060
ENST00000633355		888
ENST00000633316		3930
ENST00000635006		5104
ENST00000635595		4978
ENST00000635235		1595
ENST00000634574		1721
ENST00000635387		684
ENST00000635146	NM_005650	7410
ENST00000634489	NM_181492	6237
ENST00000634848		1058
ENST00000635187		633
ENST00000635607		546
ENST00000635703		9241
ENST00000634365		4390
ENST00000634904		4323
ENST00000634346		4955
ENST00000635535		1275
ENST00000635345		7040
ENST00000635459		2881
ENST00000635430		5789
ENST00000635679		868
ENST00000634310		256
ENST00000634945		9118
ENST00000635644		9202
ENST00000635106		2832
ENST00000635531		5796
ENST00000635316		2267
ENST00000635207		748
ENST00000635697		1832
ENST00000634275		531
ENST00000635646		2071
ENST00000634381		319
ENST00000635498		513
ENST00000634786		550
ENST00000635256		591
ENST00000635171		2447
ENST00000636032		1657
ENST00000636141		1504
ENST00000634513		2552
ENST00000634561	NM_017707	4050
ENST00000635693		2226
ENST00000635461		936
ENST00000634705		3024
ENST00000635198	NM_001143778	2865
ENST00000635167		907
ENST00000634883		805
ENST00000635442		591
ENST00000634459		888
ENST00000634548		589
ENST00000635351		480
ENST00000634556		9911
ENST00000634583		5039
ENST00000635279		5038
ENST00000636164		891
ENST00000635282		551
ENST00000635382		1205
ENST00000634845		420
ENST00000634307		1697
ENST00000634771		521
ENST00000635012		6210
ENST00000634498		8224
ENST00000635611		8242
ENST00000635613		8251
ENST00000634608		9472
ENST00000634360		8248
ENST00000635154	NM_007088	1373
ENST00000635371	NM_001740	1466
ENST00000635576		704
ENST00000634959		472
ENST00000634226		424
ENST00000634534		1657
ENST00000635122		1504
ENST00000634752	NM_018348	4168
ENST00000634752	NM_001099642	4168
ENST00000634570		1267
ENST00000634260	NM_172241	4313
ENST00000634683	NM_004091	5191
ENST00000635265		550
ENST00000634790	NM_002167	1251
ENST00000635026		623
ENST00000635141		892
ENST00000636453		14136
ENST00000635981		1664
ENST00000637545		753
ENST00000637998		1074
ENST00000636021		755
ENST00000636553		714
ENST00000636883		738
ENST00000637166		838
ENST00000636972		421
ENST00000636688		340
ENST00000636910		1187
ENST00000638004		1684
ENST00000636361		1714
ENST00000635910		2257
ENST00000637987		1433
ENST00000637047		893
ENST00000637489		1275
ENST00000636642		1275
ENST00000638067		1275
ENST00000637739		1275
ENST00000637211		1275
ENST00000636684		1275
ENST00000637509		1275
ENST00000635972		1275
ENST00000635732		1275
ENST00000637972		1574
ENST00000636326		1432
ENST00000637546	NM_001306068	1710
ENST00000637558		1710
ENST00000636799		7410
ENST00000637355		6237
ENST00000636542		1058
ENST00000637246		633
ENST00000635748		11819
ENST00000637733		3361
