Ensembl Gene ID	Ensembl Transcript ID	3' UTR Start	3' UTR End
FBgn0031883	FBtr0344712	7034499	7034693
FBgn0031883	FBtr0344709		
FBgn0031883	FBtr0344709	7035637	7036035
FBgn0031883	FBtr0344709	7036812	7037613
FBgn0031883	FBtr0344709	7034211	7034273
FBgn0031883	FBtr0344709	7034484	7034693
FBgn0031883	FBtr0344709	7035407	7035561
FBgn0031883	FBtr0344709	7036185	7036722
FBgn0031883	FBtr0344709	7034765	7034912
FBgn0031883	FBtr0089636		
FBgn0031883	FBtr0089636	7037451	7037878
FBgn0051140	FBtr0330371		
FBgn0051140	FBtr0330371	23980825	23980994
FBgn0051140	FBtr0084497		
FBgn0051140	FBtr0084497	23981906	23983232
FBgn0051140	FBtr0084498		
FBgn0051140	FBtr0084498	23981906	23983232
FBgn0051140	FBtr0300963		
FBgn0051140	FBtr0300963	23980777	23980994
FBgn0051140	FBtr0305041		
FBgn0051140	FBtr0305041	23981906	23983232
FBgn0051140	FBtr0113392		
FBgn0051140	FBtr0113392	23980777	23980994
FBgn0051140	FBtr0113393		
FBgn0051140	FBtr0113393	23973632	23973842
FBgn0036560	FBtr0333614		
FBgn0036560	FBtr0333614	16037163	16037227
FBgn0036560	FBtr0075437		
FBgn0036560	FBtr0075437	16037163	16037227
FBgn0039058	FBtr0084401		
FBgn0039058	FBtr0084401	23158017	23158119
FBgn0259139	FBtr0089919		
FBgn0259139	FBtr0089919	11815293	11815501
FBgn0259139	FBtr0089918		
FBgn0259139	FBtr0089918	11816612	11816719
FBgn0259139	FBtr0089918	11815841	11816544
FBgn0259139	FBtr0089918	11815206	11815765
FBgn0259139	FBtr0089917		
FBgn0259139	FBtr0089917	11815206	11815501
FBgn0085398	FBtr0344888		
FBgn0085398	FBtr0112594		
FBgn0032515	FBtr0342632		
FBgn0032515	FBtr0342632	13385233	13385671
FBgn0032515	FBtr0100220		
FBgn0032515	FBtr0100220	13384668	13384794
FBgn0032515	FBtr0100220	13384984	13385671
FBgn0032515	FBtr0342633		
FBgn0032515	FBtr0342633	13385233	13385671
FBgn0032515	FBtr0303269		
FBgn0032515	FBtr0303269	13384092	13384165
FBgn0032515	FBtr0080497		
FBgn0032515	FBtr0080497	13385233	13385671
FBgn0032515	FBtr0080498		
FBgn0032515	FBtr0080498	13385233	13385671
FBgn0032170	FBtr0079887		
FBgn0032170	FBtr0079887	9959721	9960168
FBgn0032170	FBtr0079885		
FBgn0032170	FBtr0079885	9959721	9960168
FBgn0032170	FBtr0343738		
FBgn0032170	FBtr0343738	9959721	9960168
FBgn0032170	FBtr0343739		
FBgn0032170	FBtr0343739	9959178	9959360
FBgn0032170	FBtr0079886		
FBgn0032170	FBtr0079886	9959721	9960168
FBgn0035471	FBtr0073159		
FBgn0035471	FBtr0073159	3904889	3905035
FBgn0032815	FBtr0331244		
FBgn0032815	FBtr0331244	19732080	19732650
FBgn0032815	FBtr0331243		
FBgn0032815	FBtr0331243	19732080	19732650
FBgn0032815	FBtr0305952		
FBgn0032815	FBtr0305952	19732080	19732650
FBgn0032815	FBtr0100351		
FBgn0032815	FBtr0100351	19732080	19732650
FBgn0032815	FBtr0081325		
FBgn0032815	FBtr0081325	19732080	19732650
FBgn0032815	FBtr0100352		
FBgn0032815	FBtr0100352	19732080	19732650
FBgn0265011	FBtr0307883		
FBgn0265011	FBtr0307883	8992945	8993541
FBgn0265011	FBtr0112560		
FBgn0265011	FBtr0112560	8992945	8993541
FBgn0011818	FBtr0077778		
FBgn0011818	FBtr0077778	2496698	2498454
FBgn0011818	FBtr0077779		
FBgn0011818	FBtr0077779	2496698	2497357
FBgn0011818	FBtr0077777		
FBgn0011818	FBtr0077777	2496698	2498846
FBgn0011818	FBtr0077780		
FBgn0011818	FBtr0077780	2497163	2498846
FBgn0034697	FBtr0071790		
FBgn0034697	FBtr0071790	22124567	22124759
FBgn0262485	FBtr0304838		
FBgn0262485	FBtr0304838	15220271	15220424
FBgn0033657	FBtr0088032		
FBgn0033657	FBtr0088032	11851729	11852324
FBgn0035760	FBtr0076837		
FBgn0035760	FBtr0076837	7321097	7321211
FBgn0027615	FBtr0076272		
FBgn0027615	FBtr0076272	10884261	10884474
FBgn0027615	FBtr0076271		
FBgn0027615	FBtr0076271	10884262	10884474
FBgn0266375	FBtr0346134		
FBgn0266375	FBtr0346134	13328766	13329303
FBgn0266375	FBtr0346133		
FBgn0266375	FBtr0346133	13328766	13329303
FBgn0266375	FBtr0344171		
FBgn0266375	FBtr0344171	13328766	13329303
FBgn0266375	FBtr0344170		
FBgn0266375	FBtr0344170	13328766	13329303
FBgn0266375	FBtr0344169		
FBgn0266375	FBtr0344169	13328766	13329303
FBgn0266375	FBtr0344168		
FBgn0266375	FBtr0344168	13328766	13329069
FBgn0052580	FBtr0074205		
FBgn0052580	FBtr0074205	16061676	16061722
FBgn0032512	FBtr0342639		
FBgn0032512	FBtr0342639	13371427	13371503
FBgn0032512	FBtr0080471		
FBgn0032512	FBtr0080471	13371427	13371503
FBgn0053768	FBtr0091769		
FBgn0265429	FBtr0339745		
FBgn0265429	FBtr0339745	13104846	13104895
FBgn0039482	FBtr0085103		
FBgn0039482	FBtr0085103	27094137	27094224
FBgn0011278	FBtr0084091		
FBgn0011278	FBtr0084091	21441577	21441969
FBgn0261647	FBtr0077763		
FBgn0261647	FBtr0077763	2368982	2370137
FBgn0261647	FBtr0330666		
FBgn0261647	FBtr0330666	2368982	2370137
FBgn0261647	FBtr0077762		
FBgn0261647	FBtr0077762	2368982	2370137
FBgn0261647	FBtr0330665		
FBgn0261647	FBtr0330665	2368982	2370137
FBgn0051721	FBtr0304114		
FBgn0051721	FBtr0304114	10626983	10628054
FBgn0051721	FBtr0080096		
FBgn0051721	FBtr0080096	10626983	10627374
FBgn0035625	FBtr0345593		
FBgn0035625	FBtr0345593	5648815	5652094
FBgn0035625	FBtr0077089		
FBgn0035625	FBtr0077089	5648815	5648936
FBgn0035625	FBtr0331808		
FBgn0035625	FBtr0331808	5648815	5648936
FBgn0035625	FBtr0331809		
FBgn0035625	FBtr0331809	5648815	5648936
FBgn0035625	FBtr0331807		
FBgn0035625	FBtr0331807	5648815	5648936
FBgn0035625	FBtr0331806		
FBgn0035625	FBtr0331806	5648815	5648936
FBgn0033951	FBtr0339980		
FBgn0033951	FBtr0339980	14646088	14646344
FBgn0033951	FBtr0087433		
FBgn0033951	FBtr0087433	14646088	14646151
FBgn0261014	FBtr0112906		
FBgn0261014	FBtr0112906	9993078	9993559
FBgn0261014	FBtr0088391		
FBgn0261014	FBtr0088391	9993078	9993559
FBgn0261014	FBtr0112905		
FBgn0261014	FBtr0112905	9993078	9993559
FBgn0261014	FBtr0343852	9993078	9993559
FBgn0261014	FBtr0343852		
FBgn0031997	FBtr0079587		
FBgn0031997	FBtr0079587	8200282	8200652
FBgn0031997	FBtr0079588		
FBgn0031997	FBtr0079588	8200356	8200652
FBgn0031997	FBtr0335190		
FBgn0031997	FBtr0335190	8200279	8200280
FBgn0031997	FBtr0335190	8200351	8200652
FBgn0038498	FBtr0083453		
FBgn0038498	FBtr0083453	17320004	17320785
FBgn0038498	FBtr0339170		
FBgn0038498	FBtr0339170	17320004	17320785
FBgn0264343	FBtr0332003		
FBgn0264343	FBtr0332003	7228567	7228641
FBgn0033062	FBtr0086018		
FBgn0033062	FBtr0086018	6080828	6081333
FBgn0033062	FBtr0086021		
FBgn0033062	FBtr0086021	6081128	6081333
FBgn0033062	FBtr0310666		
FBgn0033062	FBtr0310666	6084169	6084356
FBgn0033062	FBtr0310666	6083941	6084007
FBgn0033062	FBtr0310666	6081912	6083884
FBgn0033062	FBtr0310666	6081736	6081840
FBgn0033062	FBtr0310666	6080828	6081034
FBgn0033062	FBtr0310665		
FBgn0033062	FBtr0310665	6080828	6080964
FBgn0033062	FBtr0310667		
FBgn0033062	FBtr0310667	6080828	6080964
FBgn0033062	FBtr0086020		
FBgn0033062	FBtr0086020	6080828	6081333
FBgn0034740	FBtr0071861		
FBgn0034740	FBtr0071861	22652177	22652307
FBgn0034740	FBtr0345496		
FBgn0034740	FBtr0345496	22652177	22653595
FBgn0035491	FBtr0332981		
FBgn0035491	FBtr0332981	4046988	4047152
FBgn0035491	FBtr0073281	4046988	4047152
FBgn0035491	FBtr0073281		
FBgn0035159	FBtr0331770		
FBgn0035159	FBtr0331770	710820	710941
FBgn0035159	FBtr0290220	710820	710941
FBgn0035159	FBtr0290220		
FBgn0035159	FBtr0072602	710820	710941
FBgn0004841	FBtr0112789		
FBgn0004841	FBtr0112789	10737592	10738197
FBgn0004841	FBtr0082315		
FBgn0004841	FBtr0082315	10737592	10738197
FBgn0033081	FBtr0336665	6655463	6655650
FBgn0033081	FBtr0086147		
FBgn0033081	FBtr0086147	6655463	6655650
FBgn0266369	FBtr0081439		
FBgn0266369	FBtr0081439	20919094	20919238
FBgn0034791	FBtr0071907		
FBgn0034791	FBtr0071907	22881322	22881506
FBgn0086370	FBtr0344473		
FBgn0086370	FBtr0344473	16196916	16197584
FBgn0086370	FBtr0083255	16196916	16197584
FBgn0086370	FBtr0083255		
FBgn0033137	FBtr0089062		
FBgn0033137	FBtr0089062	7056403	7056587
FBgn0033137	FBtr0336874		
FBgn0033137	FBtr0336874	7056337	7056587
FBgn0033137	FBtr0336874	7054405	7056279
FBgn0037989	FBtr0339645		
FBgn0037989	FBtr0339645	12068375	12069582
FBgn0037989	FBtr0300351		
FBgn0037989	FBtr0300351	12068375	12069582
FBgn0037989	FBtr0339646		
FBgn0037989	FBtr0339646	12068375	12069582
FBgn0037989	FBtr0307016		
FBgn0037989	FBtr0307016	12068375	12069582
FBgn0037989	FBtr0339644		
FBgn0037989	FBtr0339644	12068375	12069582
FBgn0037989	FBtr0339643		
FBgn0037989	FBtr0339643	12068375	12069582
FBgn0037989	FBtr0307015		
FBgn0037989	FBtr0307015	12068375	12069582
FBgn0041707	FBtr0301640		
FBgn0041707	FBtr0301640	5377811	5377975
FBgn0041707	FBtr0078789		
FBgn0041707	FBtr0078789	5377811	5377975
FBgn0036349	FBtr0075840	13379063	13379190
FBgn0053631	FBtr0091608		
FBgn0036765	FBtr0300281		
FBgn0036765	FBtr0300281	17882614	17883653
FBgn0036765	FBtr0075142		
FBgn0036765	FBtr0075142	17882614	17883653
FBgn0036765	FBtr0300282		
FBgn0036765	FBtr0300282	17882614	17882682
FBgn0036662	FBtr0075327		
FBgn0036662	FBtr0075327	16785052	16785246
FBgn0036662	FBtr0075326	16785052	16785246
FBgn0036662	FBtr0075326		
FBgn0003091	FBtr0305069		
FBgn0003091	FBtr0305069	16942827	16943107
FBgn0003091	FBtr0112819		
FBgn0003091	FBtr0112819	16942827	16943107
FBgn0003091	FBtr0305070		
FBgn0003091	FBtr0305070	16942827	16943107
FBgn0003091	FBtr0087048		
FBgn0003091	FBtr0087048	16942827	16943107
FBgn0003091	FBtr0087049		
FBgn0003091	FBtr0087049	16942827	16943107
FBgn0003091	FBtr0331960		
FBgn0003091	FBtr0331960	16942827	16945126
FBgn0031170	FBtr0332489		
FBgn0031170	FBtr0332489	21293156	21293337
FBgn0031170	FBtr0332489	21292714	21292930
FBgn0031170	FBtr0332488		
FBgn0031170	FBtr0332488	21292714	21292875
FBgn0031170	FBtr0306679		
FBgn0031170	FBtr0306679	21292308	21293337
FBgn0262478	FBtr0304816	15185904	15185952
FBgn0034681	FBtr0071749	22035533	22035666
FBgn0035449	FBtr0073143		
FBgn0035449	FBtr0073143	3468023	3468780
FBgn0086447	FBtr0332577		
FBgn0086447	FBtr0332577	19133023	19133051
FBgn0086447	FBtr0336628		
FBgn0086447	FBtr0336628	19133023	19133051
FBgn0086447	FBtr0081161	19133023	19133051
FBgn0086447	FBtr0081161		
FBgn0030266	FBtr0073481		
FBgn0030266	FBtr0073481	11112395	11112850
FBgn0031016	FBtr0074708		
FBgn0031016	FBtr0074708	19469551	19470041
FBgn0031016	FBtr0309223		
FBgn0031016	FBtr0309223	19469551	19470041
FBgn0031016	FBtr0074707		
FBgn0031016	FBtr0074707	19469551	19470041
FBgn0031016	FBtr0309224		
FBgn0031016	FBtr0309224	19469551	19471914
FBgn0064115	FBtr0091626	13831938	13832624
FBgn0064115	FBtr0091626	13831482	13831883
FBgn0039115	FBtr0084463	23766519	23766762
FBgn0259167	FBtr0299616		
FBgn0259167	FBtr0299616	5805643	5805749
FBgn0259167	FBtr0299617	5805643	5805749
FBgn0259167	FBtr0299617		
FBgn0030384	FBtr0073643	12374280	12374448
FBgn0039019	FBtr0084309	22746431	22746605
FBgn0011224	FBtr0085881		
FBgn0011224	FBtr0085881	31850982	31851854
FBgn0011224	FBtr0300264		
FBgn0011224	FBtr0300264	31851484	31851854
FBgn0011224	FBtr0085883		
FBgn0011224	FBtr0085883	31851020	31851854
FBgn0011224	FBtr0300268		
FBgn0011224	FBtr0300268	31851020	31851854
FBgn0011224	FBtr0085886		
FBgn0011224	FBtr0085886	31851020	31851854
FBgn0011224	FBtr0300266		
FBgn0011224	FBtr0300266	31851020	31851854
FBgn0011224	FBtr0085888		
FBgn0011224	FBtr0085888	31851020	31851854
FBgn0011224	FBtr0300270		
FBgn0011224	FBtr0300270	31851484	31851854
FBgn0011224	FBtr0085887		
FBgn0011224	FBtr0085887	31851020	31851854
FBgn0011224	FBtr0085880		
FBgn0011224	FBtr0085880	31851020	31851854
FBgn0011224	FBtr0112866		
FBgn0011224	FBtr0112866	31846987	31851854
FBgn0011224	FBtr0300265		
FBgn0011224	FBtr0300265	31851484	31851854
FBgn0011224	FBtr0306693		
FBgn0011224	FBtr0306693	31851020	31851854
FBgn0011224	FBtr0300263		
FBgn0011224	FBtr0300263	31850982	31851854
FBgn0011224	FBtr0112865		
FBgn0011224	FBtr0112865	31851484	31851854
FBgn0011224	FBtr0085879		
FBgn0011224	FBtr0085879	31851020	31851854
FBgn0011224	FBtr0085882		
FBgn0011224	FBtr0085882	31851020	31851854
FBgn0011224	FBtr0085885		
FBgn0011224	FBtr0085885	31851020	31851854
FBgn0011224	FBtr0346192		
FBgn0011224	FBtr0346192	31851484	31851854
FBgn0011224	FBtr0300269		
FBgn0011224	FBtr0300269	31846987	31851854
FBgn0011224	FBtr0085878		
FBgn0011224	FBtr0085878	31851484	31851854
FBgn0011224	FBtr0306692		
FBgn0011224	FBtr0306692	31851020	31851854
FBgn0011224	FBtr0300267		
FBgn0011224	FBtr0300267	31851020	31851854
FBgn0011224	FBtr0112864		
FBgn0011224	FBtr0112864	31850249	31851854
FBgn0011224	FBtr0085884		
FBgn0011224	FBtr0085884	31851020	31851854
FBgn0039589	FBtr0085304		
FBgn0039589	FBtr0085304	28607891	28608372
FBgn0085350	FBtr0112523	11731151	11731223
FBgn0085350	FBtr0112523	11726390	11727364
FBgn0036414	FBtr0321258		
FBgn0036414	FBtr0321258	14186249	14186367
FBgn0036414	FBtr0089524		
FBgn0036414	FBtr0089524	14186249	14186367
FBgn0039565	FBtr0344620		
FBgn0039565	FBtr0344620	27957356	27957415
FBgn0039565	FBtr0085264		
FBgn0039565	FBtr0085264	27957384	27957415
FBgn0005660	FBtr0078079		
