Ortholog of target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
MMD2	ENST00000406755.1	monocyte to macrophage differentiation-associated 2 	5	1	1	0	0	1	1	0	0	0	hsa-miR-1-3p	-0.69	-0.69	0.86	2005, 2007, 2009, 2011
BDNF	ENST00000439476.2	brain-derived neurotrophic factor 	2696	3	1	2	0	0	0	0	0	0	hsa-miR-1-3p	-0.68	-0.95	0.98	2003, 2005, 2007, 2009, 2011
SLC10A7	ENST00000264986.3	solute carrier family 10, member 7 	77	2	1	1	0	0	0	0	0	2	hsa-miR-1-3p	-0.68	-0.90	0.88	2009, 2011
G6PD	ENST00000393562.2	glucose-6-phosphate dehydrogenase 	9	3	0	3	0	0	0	0	0	0	hsa-miR-1-3p	-0.68	-0.68	> 0.99	2011
SRI	ENST00000265729.2	sorcin 	278	1	1	0	0	0	0	0	0	0	hsa-miR-1-3p	-0.65	-0.65	0.89	2011
GLCCI1	ENST00000223145.5	glucocorticoid induced transcript 1 	654	2	2	0	0	0	0	0	0	2	hsa-miR-206	-0.65	-0.73	0.92	2005, 2007, 2009, 2011
CDK14	ENST00000380050.3	cyclin-dependent kinase 14 	226	2	2	0	0	0	0	0	0	2	hsa-miR-1-3p	-0.65	-0.68	0.78	2005, 2007, 2009, 2011
RABEPK	ENST00000394124.4	Rab9 effector protein with kelch motifs 	2485	1	1	0	0	2	0	0	2	0	hsa-miR-206	-0.65	-0.65	ORF	
C5orf51	ENST00000381647.2	chromosome 5 open reading frame 51 	124	2	1	1	0	1	0	0	1	0	hsa-miR-1-3p	-0.65	-0.65	0.83	2005, 2007, 2009, 2011
RIT2	ENST00000589109.1	Ras-like without CAAX 2 	5	1	1	0	0	0	0	0	0	0	hsa-miR-1-3p	-0.64	-0.64	0.26	2005, 2007, 2009, 2011
KCNIP3	ENST00000295225.5	Kv channel interacting protein 3, calsenilin 	555	2	1	1	0	0	0	0	0	1	hsa-miR-206	-0.63	-0.63	0.97	2007, 2009, 2011
TMEM243	ENST00000257637.3	transmembrane protein 243, mitochondrial 	25	1	1	0	0	0	0	0	0	0	hsa-miR-206	-0.62	-0.62	0.56	2005, 2007, 2009, 2011
POGK	ENST00000367875.1	pogo transposable element with KRAB domain 	377	3	0	1	2	0	0	0	0	2	hsa-miR-1-3p	-0.62	-0.82	0.98	2007, 2009, 2011
SLC44A1	ENST00000374720.3	solute carrier family 44 (choline transporter), member 1 	407	3	2	0	1	1	1	0	0	0	hsa-miR-1-3p	-0.61	-0.64	0.99	2007, 2009, 2011
EBPL	ENST00000378284.2	emopamil binding protein-like 	155	1	1	0	0	0	0	0	0	0	hsa-miR-206	-0.61	-0.61	0.73	
MMD	ENST00000262065.3	monocyte to macrophage differentiation-associated 	558	2	1	0	1	0	0	0	0	0	hsa-miR-1-3p	-0.61	-0.61	0.90	2005, 2007, 2009, 2011
SRSF9	ENST00000229390.3	serine/arginine-rich splicing factor 9 	946	1	1	0	0	0	0	0	0	0	hsa-miR-1-3p	-0.61	-0.61	0.98	2005, 2007, 2009, 2011
ANKRD29	ENST00000592179.1	ankyrin repeat domain 29 	60	1	1	0	0	1	0	0	1	0	hsa-miR-1-3p	-0.61	-0.61	0.38	2005, 2007, 2011
UST	ENST00000367463.4	uronyl-2-sulfotransferase 	933	2	1	1	0	1	1	0	0	0	hsa-miR-1-3p	-0.60	-0.75	0.99	2005, 2007, 2009, 2011
EIF1AX	ENST00000379607.5	eukaryotic translation initiation factor 1A, X-linked 	277	1	1	0	0	0	0	0	0	0	hsa-miR-1-3p	-0.60	-0.60	0.92	2005, 2007, 2009, 2011
ANXA2	ENST00000396024.3	annexin A2 	30	1	1	0	0	0	0	0	0	0	hsa-miR-206	-0.59	-0.59	0.84	2005, 2007, 2009, 2011
NDRG3	ENST00000373803.2	NDRG family member 3 	960	1	1	0	0	0	0	0	0	1	hsa-miR-1-3p	-0.58	-0.59	0.92	2009, 2011
IGF1	ENST00000337514.6	insulin-like growth factor 1 (somatomedin C) 	19	1	1	0	0	1	0	1	0	1	hsa-miR-1-3p	-0.57	-0.80	0.92	2005, 2007, 2009, 2011
MAB21L1	ENST00000379919.4	mab-21-like 1 (C. elegans) 	25	1	1	0	0	0	0	0	0	0	hsa-miR-1-3p	-0.56	-0.56	0.81	2005, 2007, 2009, 2011
NXT2	ENST00000372106.1	nuclear transport factor 2-like export factor 2 	390	1	1	0	0	0	0	0	0	0	hsa-miR-1-3p	-0.55	-0.55	0.48	2009, 2011
SEPT2	ENST00000391971.2	septin 2 	1445	1	1	0	0	0	0	0	0	0	hsa-miR-1-3p	-0.55	-0.55	0.52	2009, 2011
C9orf152	ENST00000400613.4	chromosome 9 open reading frame 152 	5	1	1	0	0	1	0	1	0	2	hsa-miR-1-3p	-0.54	-0.54	< 0.1	2011
PAX3	ENST00000350526.4	paired box 3 	7	2	1	1	0	0	0	0	0	0	hsa-miR-206	-0.54	-0.54	0.85	2005, 2007, 2009, 2011
RABGAP1L	ENST00000489615.1	RAB GTPase activating protein 1-like 	364	1	1	0	0	3	1	1	1	1	hsa-miR-1-3p	-0.54	-0.54	0.21	
MAL2	ENST00000276681.6	mal, T-cell differentiation protein 2 (gene/pseudogene) 	2056	1	1	0	0	0	0	0	0	0	hsa-miR-206	-0.53	-0.53	0.25	2005, 2007, 2009, 2011
MXD1	ENST00000264444.2	MAX dimerization protein 1 	183	1	1	0	0	0	0	0	0	2	hsa-miR-206	-0.53	-0.53	0.93	2009, 2011
RAB5A	ENST00000273047.4	RAB5A, member RAS oncogene family 	68	1	1	0	0	0	0	0	0	0	hsa-miR-1-3p	-0.53	-0.53	0.72	2009, 2011
TMEM178A	ENST00000281961.2	transmembrane protein 178A 	141	1	1	0	0	0	0	0	0	0	hsa-miR-1-3p	-0.52	-0.52	0.62	2007, 2009, 2011
TTR	ENST00000237014.3	transthyretin 	12915	1	0	1	0	3	1	1	1	0	hsa-miR-206	-0.52	-1.07	0.64	
GPR137C	ENST00000321662.6	G protein-coupled receptor 137C 	110	1	1	0	0	1	1	0	0	0	hsa-miR-1-3p	-0.52	-0.55	0.91	2009, 2011
E2F5	ENST00000418930.2	E2F transcription factor 5, p130-binding 	10	1	1	0	0	0	0	0	0	0	hsa-miR-1-3p	-0.51	-0.51	0.71	2009, 2011
LASP1	ENST00000318008.6	LIM and SH3 protein 1 	552	1	1	0	0	2	1	1	0	0	hsa-miR-1-3p	-0.51	-0.51	0.70	2007, 2009, 2011
C2orf69	ENST00000319974.5	chromosome 2 open reading frame 69 	82	2	1	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.51	-0.53	0.89	2005, 2007, 2009, 2011
CCSAP	ENST00000366687.1	centriole, cilia and spindle-associated protein 	1210	1	1	0	0	1	0	0	1	1	hsa-miR-1-3p	-0.51	-0.51	0.69	2007, 2009, 2011
HNRNPU	ENST00000444376.2	heterogeneous nuclear ribonucleoprotein U (scaffold attachment factor A) 	5343	1	1	0	0	0	0	0	0	1	hsa-miR-1-3p	-0.50	-0.55	0.98	2005, 2007, 2009, 2011
TWF1	ENST00000552521.1	twinfilin actin-binding protein 1 	72	2	1	0	1	0	0	0	0	0	hsa-miR-1-3p	-0.50	-0.50	0.88	2011
GPD2	ENST00000310454.6	glycerol-3-phosphate dehydrogenase 2 (mitochondrial) 	196	1	1	0	0	1	0	0	1	0	hsa-miR-206	-0.50	-0.50	0.88	2005, 2007, 2009, 2011
SPRED1	ENST00000299084.4	sprouty-related, EVH1 domain containing 1 	547	1	1	0	0	1	0	1	0	1	hsa-miR-1-3p	-0.50	-0.50	0.92	2003, 2005, 2007, 2009, 2011
GCH1	ENST00000491895.2	GTP cyclohydrolase 1 	502	1	1	0	0	0	0	0	0	1	hsa-miR-1-3p	-0.50	-0.50	0.14	2011
TSPAN4	ENST00000397396.1	tetraspanin 4 	3943	1	1	0	0	0	0	0	0	0	hsa-miR-1-3p	-0.49	-0.49	0.71	2007, 2009, 2011
EDN1	ENST00000379375.5	endothelin 1 	113	1	1	0	0	0	0	0	0	0	hsa-miR-1-3p	-0.49	-0.49	0.46	2005, 2007, 2009, 2011
MSANTD2	ENST00000239614.4	Myb/SANT-like DNA-binding domain containing 2 	50	1	1	0	0	0	0	0	0	1	hsa-miR-206	-0.49	-0.49	0.82	2007, 2009, 2011
CDON	ENST00000392693.3	cell adhesion associated, oncogene regulated 	173	1	1	0	0	1	0	0	1	1	hsa-miR-206	-0.49	-0.51	0.37	2009, 2011
TRIM2	ENST00000338700.5	tripartite motif containing 2 	22	1	1	0	0	1	0	1	0	0	hsa-miR-1-3p	-0.49	-0.49	0.80	2005, 2007, 2009, 2011
VAMP4	ENST00000236192.7	vesicle-associated membrane protein 4 	282	1	1	0	0	0	0	0	0	0	hsa-miR-1-3p	-0.49	-0.68	0.95	2005, 2007, 2009, 2011
PAX7	ENST00000420770.2	paired box 7 	7	4	1	2	1	1	1	0	0	1	hsa-miR-206	-0.48	-0.48	0.98	2011
TNKS2	ENST00000371627.4	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase 2 	205	3	2	0	1	1	0	1	0	2	hsa-miR-1-3p	-0.48	-0.66	> 0.99	2005, 2007, 2009, 2011
PPIB	ENST00000300026.3	peptidylprolyl isomerase B (cyclophilin B) 	116	1	1	0	0	0	0	0	0	0	hsa-miR-206	-0.48	-0.52	0.48	2011
GPR6	ENST00000275169.3	G protein-coupled receptor 6 	5	1	1	0	0	0	0	0	0	0	hsa-miR-1-3p	-0.48	-0.48	0.56	2009, 2011
CAAP1	ENST00000520187.1	caspase activity and apoptosis inhibitor 1 	1527	1	1	0	0	0	0	0	0	0	hsa-miR-1-3p	-0.48	-0.48	0.63	2005, 2007, 2009, 2011
PIRT	ENST00000580256.2	phosphoinositide-interacting regulator of transient receptor potential channels 	5	1	1	0	0	0	0	0	0	2	hsa-miR-206	-0.48	-0.48	0.88	2009, 2011
PDCD10	ENST00000392750.2	programmed cell death 10 	638	1	0	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.47	-0.49	0.78	2005, 2007, 2009, 2011
ABHD2	ENST00000352732.5	abhydrolase domain containing 2 	210	2	1	1	0	1	0	0	1	0	hsa-miR-206	-0.47	-0.53	0.90	2007, 2009, 2011
BSCL2	ENST00000278893.7	Berardinelli-Seip congenital lipodystrophy 2 (seipin) 	169	1	1	0	0	0	0	0	0	0	hsa-miR-1-3p	-0.47	-0.47	0.28	2005, 2007, 2009, 2011
CITED2	ENST00000367651.2	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2 	1071	1	0	1	0	1	0	0	1	0	hsa-miR-1-3p	-0.47	-0.50	0.85	2007, 2009, 2011
VAMP2	ENST00000316509.6	vesicle-associated membrane protein 2 (synaptobrevin 2) 	1840	2	0	2	0	0	0	0	0	0	hsa-miR-1-3p	-0.47	-0.47	0.82	2003, 2005, 2007, 2009, 2011
NCL	ENST00000322723.4	nucleolin 	10100	1	1	0	0	0	0	0	0	0	hsa-miR-1-3p	-0.46	-0.46	0.98	2005, 2007, 2009, 2011
PIGF	ENST00000281382.6	phosphatidylinositol glycan anchor biosynthesis, class F 	5	1	1	0	0	0	0	0	0	0	hsa-miR-1-3p	-0.45	-0.45	ORF	
SH3BGRL3	ENST00000319041.6	SH3 domain binding glutamic acid-rich protein like 3 	8719	1	0	1	0	0	0	0	0	1	hsa-miR-1-3p	-0.45	-0.45	0.68	2005, 2007, 2009, 2011
UNC119B	ENST00000344651.4	unc-119 homolog B (C. elegans) 	5	1	1	0	0	2	1	0	1	1	hsa-miR-1-3p	-0.45	-0.45	0.55	2007, 2009, 2011
CHSY1	ENST00000254190.3	chondroitin sulfate synthase 1 	200	1	0	1	0	2	1	1	0	0	hsa-miR-1-3p	-0.45	-0.47	0.41	
CCND2	ENST00000261254.3	cyclin D2 	66	3	0	2	1	0	0	0	0	0	hsa-miR-206	-0.45	-0.53	> 0.99	2005, 2007, 2009, 2011
ASH2L	ENST00000343823.6	ash2 (absent, small, or homeotic)-like (Drosophila) 	140	1	1	0	0	0	0	0	0	0	hsa-miR-1-3p	-0.45	-0.46	0.69	2005, 2007, 2009, 2011
FBXL14	ENST00000339235.3	F-box and leucine-rich repeat protein 14 	76	1	1	0	0	0	0	0	0	1	hsa-miR-206	-0.45	-0.45	0.41	2009, 2011
TACR1	ENST00000305249.5	tachykinin receptor 1 	5	1	1	0	0	2	0	1	1	1	hsa-miR-206	-0.45	-0.45	0.20	2009, 2011
WDR48	ENST00000302313.5	WD repeat domain 48 	638	1	1	0	0	0	0	0	0	1	hsa-miR-1-3p	-0.44	-0.44	0.66	2005, 2007, 2009, 2011
CDC42SE1	ENST00000439374.2	CDC42 small effector 1 	231	1	1	0	0	1	0	1	0	0	hsa-miR-206	-0.44	-0.56	0.52	2009, 2011
LPPR4	ENST00000370185.3	Lipid phosphate phosphatase-related protein type 4  	5	1	1	0	0	1	0	1	0	0	hsa-miR-1-3p	-0.44	-0.44	0.73	2005, 2007, 2009, 2011
AZIN1	ENST00000337198.5	antizyme inhibitor 1 	2287	1	1	0	0	1*	0	0	0	0	hsa-miR-1-3p	-0.44	-0.44	0.98	2007, 2009, 2011
HIGD1A	ENST00000321331.7	HIG1 hypoxia inducible domain family, member 1A 	254	1	0	0	1	1	0	1	0	1	hsa-miR-1-3p	-0.44	-0.48	0.68	2009, 2011
SEC23B	ENST00000336714.3	Sec23 homolog B (S. cerevisiae) 	1829	1	0	1	0	2	2	0	0	0	hsa-miR-1-3p	-0.44	-0.88	0.84	2009, 2011
MIPOL1	ENST00000327441.7	mirror-image polydactyly 1 	45	1	1	0	0	0	0	0	0	1	hsa-miR-206	-0.43	-0.44	0.95	2005, 2007, 2009, 2011
CLTC	ENST00000269122.3	clathrin, heavy chain (Hc) 	10702	2	1	0	1	0	0	0	0	1	hsa-miR-1-3p	-0.43	-0.43	0.96	2005, 2007, 2009, 2011
ZNF281	ENST00000294740.3	zinc finger protein 281 	595	2	1	0	1	0	0	0	0	1	hsa-miR-1-3p	-0.43	-0.52	0.94	2005, 2007
TPM4	ENST00000300933.4	tropomyosin 4 	332	1	1	0	0	1	0	0	1	1	hsa-miR-1-3p	-0.43	-0.48	0.58	2011
SRPK2	ENST00000393651.3	SRSF protein kinase 2 	381	1	0	0	1	1	0	0	1	2	hsa-miR-206	-0.42	-0.48	0.84	
RAB43	ENST00000476465.1	RAB43, member RAS oncogene family 	5	2	1	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.42	-0.64	0.89	2009, 2011
HOXB4	ENST00000332503.5	homeobox B4 	214	1	1	0	0	0	0	0	0	0	hsa-miR-1-3p	-0.42	-0.43	0.81	2005, 2007, 2009, 2011
MAN1C1	ENST00000374332.4	mannosidase, alpha, class 1C, member 1 	60	2	0	1	1	1	0	1	0	0	hsa-miR-206	-0.42	-0.44	0.94	2009, 2011
NANP	ENST00000304788.3	N-acetylneuraminic acid phosphatase 	78	1	1	0	0	1	0	0	1	0	hsa-miR-1-3p	-0.42	-0.57	0.39	2011
CPED1	ENST00000310396.5	cadherin-like and PC-esterase domain containing 1 	77	2	1	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.42	-0.42	0.97	2005, 2007, 2009, 2011
SLC25A30	ENST00000539591.1	solute carrier family 25, member 30 	92	1	1	0	0	0	0	0	0	0	hsa-miR-1-3p	-0.42	-0.45	0.80	2011
AP1G1	ENST00000299980.4	adaptor-related protein complex 1, gamma 1 subunit 	436	2	0	2	0	1	0	1	0	1	hsa-miR-1-3p	-0.41	-0.42	0.63	2005, 2007
CNN3	ENST00000370206.4	calponin 3, acidic 	4490	1	0	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.41	-0.41	0.74	2005, 2007, 2009, 2011
SMARCB1	ENST00000344921.6	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1 	1293	1	1	0	0	0	0	0	0	0	hsa-miR-206	-0.41	-0.41	0.65	2011
ADPGK	ENST00000311669.8	ADP-dependent glucokinase 	1938	1	1	0	0	0	0	0	0	1	hsa-miR-1-3p	-0.41	-0.41	0.92	2005, 2007, 2009, 2011
PGD	ENST00000270776.8	phosphogluconate dehydrogenase 	2008	1	1	0	0	0	0	0	0	0	hsa-miR-206	-0.41	-0.41	0.79	2009, 2011
PDE7A	ENST00000401827.3	phosphodiesterase 7A 	84	1	1	0	0	0	0	0	0	2	hsa-miR-206	-0.41	-0.47	0.98	2011
ZNF580	ENST00000325333.5	zinc finger protein 580 	154	1	0	1	0	0	0	0	0	1	hsa-miR-206	-0.41	-0.43	0.76	2005, 2007, 2009, 2011
TIMP3	ENST00000266085.6	TIMP metallopeptidase inhibitor 3 	7421	2	1	0	1	0	0	0	0	0	hsa-miR-1-3p	-0.41	-0.58	0.96	2005, 2007, 2009, 2011
TPM3	ENST00000368531.2	tropomyosin 3 	669	1	1	0	0	0	0	0	0	0	hsa-miR-1-3p	-0.41	-0.42	0.91	2011
RNF138	ENST00000261593.3	ring finger protein 138, E3 ubiquitin protein ligase 	376	1	1	0	0	0	0	0	0	1	hsa-miR-1-3p	-0.41	-0.41	0.65	2005, 2007, 2009, 2011
NFATC2	ENST00000371564.3	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 2 	105	1	0	1	0	3	0	0	3	0	hsa-miR-1-3p	-0.40	-0.40	0.89	
DDX5	ENST00000225792.5	DEAD (Asp-Glu-Ala-Asp) box helicase 5 	5537	1	0	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.40	-0.40	0.84	2005, 2007, 2009, 2011
ZFP36L1	ENST00000555997.1	ZFP36 ring finger protein-like 1 	231	1	0	0	1	1	1	0	0	1	hsa-miR-1-3p	-0.40	-0.52	0.64	2007, 2009, 2011
RASA1	ENST00000456692.2	RAS p21 protein activator (GTPase activating protein) 1 	1700	1	1	0	0	2	0	1	1	1	hsa-miR-206	-0.40	-0.53	0.85	2005, 2007, 2009, 2011
KIF2A	ENST00000381103.2	kinesin heavy chain member 2A 	905	2	0	1	1	1	0	0	1	0	hsa-miR-206	-0.40	-0.46	0.95	2007, 2009, 2011
HMGN1	ENST00000380749.5	high mobility group nucleosome binding domain 1 	375	1	1	0	0	0	0	0	0	0	hsa-miR-1-3p	-0.40	-0.40	ORF	2007, 2009, 2011
UBE2H	ENST00000355621.3	ubiquitin-conjugating enzyme E2H 	855	1	1	0	0	0	0	0	0	0	hsa-miR-206	-0.40	-0.41	0.95	2005, 2007, 2009, 2011
MON2	ENST00000546600.1	MON2 homolog (S. cerevisiae) 	784	1	1	0	0	0	0	0	0	0	hsa-miR-1-3p	-0.40	-0.40	0.98	2007, 2009, 2011
YWHAZ	ENST00000395957.2	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide 	184	1	1	0	0	1	0	1	0	1	hsa-miR-1-3p	-0.39	-0.52	0.97	2005, 2007, 2009, 2011
TMCC1	ENST00000432054.2	transmembrane and coiled-coil domain family 1 	97	1	1	0	0	1	0	1	0	2	hsa-miR-206	-0.39	-0.44	0.89	2005, 2007, 2009, 2011
MPP5	ENST00000261681.4	membrane protein, palmitoylated 5 (MAGUK p55 subfamily member 5) 	354	1	1	0	0	1	0	0	1	0	hsa-miR-1-3p	-0.39	-0.39	0.52	2005, 2007, 2009, 2011
RRBP1	ENST00000377813.1	ribosome binding protein 1 	1290	1	0	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.39	-0.39	0.82	2005, 2007, 2009, 2011
LRCH1	ENST00000311191.6	leucine-rich repeats and calponin homology (CH) domain containing 1 	381	2	1	0	1	0	0	0	0	0	hsa-miR-206	-0.39	-0.39	0.85	2011
CTTNBP2NL	ENST00000271277.6	CTTNBP2 N-terminal like 	182	1	1	0	0	0	0	0	0	0	hsa-miR-206	-0.39	-0.39	0.90	2007, 2009, 2011
HS3ST3B1	ENST00000360954.2	heparan sulfate (glucosamine) 3-O-sulfotransferase 3B1 	1489	1	1	0	0	1	0	0	1	1	hsa-miR-1-3p	-0.39	-0.39	0.97	2005, 2007, 2009, 2011
BAG4	ENST00000287322.4	BCL2-associated athanogene 4 	29	1	1	0	0	0	0	0	0	0	hsa-miR-206	-0.39	-0.39	0.50	2005, 2007, 2011
SLC29A3	ENST00000373189.5	solute carrier family 29 (equilibrative nucleoside transporter), member 3 	174	1	1	0	0	4	0	1	3	1	hsa-miR-206	-0.39	-0.50	< 0.1	2011
STC2	ENST00000265087.4	stanniocalcin 2 	1112	1	1	0	0	1	0	1	0	0	hsa-miR-206	-0.38	-0.41	0.97	2005, 2007, 2009, 2011
ZMAT3	ENST00000311417.2	zinc finger, matrin-type 3 	459	1	0	1	0	3	1	1	1	0	hsa-miR-1-3p	-0.38	-0.49	0.66	2007, 2009, 2011
CXCL11	ENST00000306621.3	chemokine (C-X-C motif) ligand 11 	5	1	0	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.38	-0.38	0.57	2011
RARB	ENST00000437042.2	retinoic acid receptor, beta 	48	1	0	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.38	-0.38	0.76	2005, 2007, 2009, 2011
YWHAQ	ENST00000381844.4	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta polypeptide 	473	1	0	1	0	0	0	0	0	2	hsa-miR-1-3p	-0.38	-0.38	0.47	2005, 2007
EIF4E	ENST00000450253.2	eukaryotic translation initiation factor 4E 	876	1	0	1	0	3	1	0	2	0	hsa-miR-1-3p	-0.38	-0.43	0.84	2005, 2007, 2009, 2011
FAM101B	ENST00000329099.4	family with sequence similarity 101, member B 	126	1	0	1	0	1	0	0	1	2	hsa-miR-1-3p	-0.38	-0.44	0.59	2007, 2009, 2011
ELMO1	ENST00000341056.3	engulfment and cell motility 1 	118	1	0	1	0	1	0	1	0	0	hsa-miR-206	-0.38	-0.38	0.74	2011
FAM107B	ENST00000378470.1	family with sequence similarity 107, member B 	403	1	1	0	0	1	0	0	1	1	hsa-miR-1-3p	-0.37	-0.42	< 0.1	2009, 2011
PTBP1	ENST00000350092.4	polypyrimidine tract binding protein 1 	7007	1	0	0	1	1	0	1	0	0	hsa-miR-206	-0.37	-0.38	0.73	2007, 2009, 2011
SNAP25	ENST00000254976.2	synaptosomal-associated protein, 25kDa 	54	1	1	0	0	0	0	0	0	0	hsa-miR-1-3p	-0.37	-0.37	0.98	2005, 2007, 2009, 2011
XPO6	ENST00000565698.1	exportin 6 	413	1	0	0	1	1	0	0	1	0	hsa-miR-1-3p	-0.37	-0.37	0.85	2005, 2007, 2009, 2011
KTN1	ENST00000413890.2	kinectin 1 (kinesin receptor) 	469	1	0	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.37	-0.37	0.78	2005, 2007, 2009, 2011
OSBPL7	ENST00000007414.3	oxysterol binding protein-like 7 	25	1	1	0	0	0	0	0	0	1	hsa-miR-1-3p	-0.37	-0.37	0.66	2005, 2007, 2009, 2011
FGF17	ENST00000359441.3	fibroblast growth factor 17 	5	1	1	0	0	0	0	0	0	0	hsa-miR-206	-0.37	-0.37	0.20	
LIN7C	ENST00000278193.2	lin-7 homolog C (C. elegans) 	1701	1	0	1	0	0	0	0	0	2	hsa-miR-206	-0.37	-0.37	0.65	2005, 2007, 2009, 2011
ABCB7	ENST00000253577.3	ATP-binding cassette, sub-family B (MDR/TAP), member 7 	77	1	0	1	0	0	0	0	0	1	hsa-miR-1-3p	-0.37	-0.41	0.75	2005, 2007
SH3BGRL	ENST00000373212.5	SH3 domain binding glutamic acid-rich protein like 	2034	1	0	1	0	0	0	0	0	1	hsa-miR-1-3p	-0.37	-0.40	0.39	
HELZ2	ENST00000427522.2	helicase with zinc finger 2, transcriptional coactivator 	692	1	1	0	0	0	0	0	0	0	hsa-miR-1-3p	-0.37	-0.37	0.67	2005, 2007, 2009, 2011
RNF141	ENST00000265981.2	ring finger protein 141 	345	1	1	0	0	0	0	0	0	1	hsa-miR-1-3p	-0.37	-0.39	< 0.1	2009, 2011
ELOF1	ENST00000252445.3	elongation factor 1 homolog (S. cerevisiae) 	275	1	1	0	0	0	0	0	0	0	hsa-miR-206	-0.36	-0.36	0.37	2007, 2009, 2011
HACE1	ENST00000262903.4	HECT domain and ankyrin repeat containing E3 ubiquitin protein ligase 1 	191	1	1	0	0	0	0	0	0	1	hsa-miR-1-3p	-0.36	-0.36	0.92	2005, 2007, 2009, 2011
ISY1-RAB43	ENST00000418265.1	ISY1-RAB43 readthrough 	5	2	1	1	0	0	0	0	0	0	hsa-miR-206	-0.36	-0.36	0.85	2011
OTUD5	ENST00000156084.4	OTU domain containing 5 	957	1	0	0	1	0	0	0	0	2	hsa-miR-1-3p	-0.36	-0.37	0.63	2007, 2009, 2011
HIAT1	ENST00000370152.3	hippocampus abundant transcript 1 	1473	1	1	0	0	0	0	0	0	0	hsa-miR-1-3p	-0.36	-0.36	0.88	2005, 2007, 2009, 2011
BET1	ENST00000222547.3	Bet1 golgi vesicular membrane trafficking protein 	722	1	0	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.36	-0.41	0.64	2005, 2007, 2009, 2011
TMEM68	ENST00000523073.1	transmembrane protein 68 	77	1	0	1	0	0	0	0	0	1	hsa-miR-1-3p	-0.36	-0.39	0.58	
