Ortholog of target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
TAPT1	ENST00000405303.2	transmembrane anterior posterior transformation 1 	105	1	1	0	0	1	0	0	1	2	hsa-miR-155-5p	-0.40	-0.45	0.13	2009, 2011
MYB	ENST00000367814.4	v-myb avian myeloblastosis viral oncogene homolog 	39	2	0	2	0	0	0	0	0	0	hsa-miR-155-5p	-0.40	-0.40	0.41	2007, 2009, 2011
DHX40	ENST00000251241.4	DEAH (Asp-Glu-Ala-His) box polypeptide 40 	538	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.39	-0.39	0.71	2009, 2011
RTKN2	ENST00000373789.3	rhotekin 2 	192	2	2	0	0	0	0	0	0	1	hsa-miR-155-5p	-0.39	-0.39	< 0.1	2009, 2011
CCDC41	ENST00000397809.5	coiled-coil domain containing 41 	76	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.39	-0.39	< 0.1	
AICDA	ENST00000229335.6	activation-induced cytidine deaminase 	5	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.39	-0.39	0.56	2011
RAB11FIP2	ENST00000355624.3	RAB11 family interacting protein 2 (class I) 	449	2	1	1	0	0	0	0	0	1	hsa-miR-155-5p	-0.39	-0.45	0.49	2005, 2007, 2009, 2011
ARVCF	ENST00000263207.3	armadillo repeat gene deleted in velocardiofacial syndrome 	19	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.39	-0.39	< 0.1	2005, 2007
PALD1	ENST00000263563.6	phosphatase domain containing, paladin 1 	108	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.39	-0.39	0.52	2005, 2007, 2009, 2011
EN2	ENST00000297375.4	engrailed homeobox 2 	86	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.39	-0.39	0.64	2009, 2011
TRIM32	ENST00000373983.2	tripartite motif containing 32 	285	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.39	-0.40	0.29	2011
GDF6	ENST00000287020.5	growth differentiation factor 6 	14	1	1	0	0	1	0	1	0	1	hsa-miR-155-5p	-0.39	-0.48	0.71	2005, 2007, 2009, 2011
MAP3K10	ENST00000253055.3	mitogen-activated protein kinase kinase kinase 10 	178	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.39	-0.39	0.26	2005, 2007, 2009, 2011
DUSP14	ENST00000394389.4	dual specificity phosphatase 14 	6641	1	0	1	0	0	0	0	0	0	hsa-miR-155-5p	-0.38	-0.39	0.23	
TOMM20	ENST00000366607.4	translocase of outer mitochondrial membrane 20 homolog (yeast) 	674	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.38	-0.38	0.43	2005, 2007, 2009, 2011
TCEB1	ENST00000518127.1	transcription elongation factor B (SIII), polypeptide 1 (15kDa, elongin C) 	637	1	0	1	0	0	0	0	0	2	hsa-miR-155-5p	-0.37	-0.40	0.23	2011
LCA5	ENST00000369846.4	Leber congenital amaurosis 5 	8	1	1	0	0	0	0	0	0	1	hsa-miR-155-5p	-0.37	-0.37	0.12	2011
TRIM23	ENST00000231524.9	tripartite motif containing 23 	247	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.36	-0.36	< 0.1	2011
MYO1D	ENST00000318217.5	myosin ID 	16	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.36	-0.36	0.56	2005, 2007, 2009, 2011
IAPP	ENST00000240652.3	islet amyloid polypeptide 	5	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.35	-0.35	< 0.1	2011
RBAK	ENST00000396912.1	RB-associated KRAB zinc finger 	99	1	1	0	0	2	1	0	1	1	hsa-miR-155-5p	-0.35	-0.50	0.11	2009, 2011
CSF1R	ENST00000286301.3	colony stimulating factor 1 receptor 	5	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.34	-0.34	0.21	2005, 2007, 2009, 2011
FGF9	ENST00000382353.5	fibroblast growth factor 9 	136	1	1	0	0	1	0	0	1	0	hsa-miR-155-5p	-0.34	-0.36	0.37	2011
ETV3	ENST00000368192.4	ets variant 3 	37	1	1	0	0	1	0	0	1	0	hsa-miR-155-5p	-0.34	-0.34	0.69	
TMEM33	ENST00000504986.1	transmembrane protein 33 	1470	1	0	1	0	3	0	2	1	2	hsa-miR-155-5p	-0.34	-0.51	0.41	2011
FOSL2	ENST00000379619.1	FOS-like antigen 2 	2255	1	1	0	0	1	1	0	0	1	hsa-miR-155-5p	-0.33	-0.40	0.93	
FAM135A	ENST00000418814.2	family with sequence similarity 135, member A 	611	1	1	0	0	0	0	0	0	1	hsa-miR-155-5p	-0.33	-0.46	0.13	2005, 2007, 2011
SCG2	ENST00000305409.2	secretogranin II 	55	1	0	1	0	0	0	0	0	0	hsa-miR-155-5p	-0.33	-0.33	0.23	2005, 2007
NKX3-1	ENST00000380871.4	NK3 homeobox 1 	240	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.33	-0.33	0.20	2009, 2011
KCTD3	ENST00000259154.4	potassium channel tetramerization domain containing 3 	372	1	0	1	0	1	0	1	0	1	hsa-miR-155-5p	-0.33	-0.36	0.41	2011
MPEG1	ENST00000361050.3	macrophage expressed 1 	5	2	1	0	1	0	0	0	0	1	hsa-miR-155-5p	-0.33	-0.33	0.40	2009, 2011
HBP1	ENST00000222574.4	HMG-box transcription factor 1 	167	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.33	-0.33	0.39	2007, 2009, 2011
SOCS1	ENST00000332029.2	suppressor of cytokine signaling 1 	190	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.33	-0.33	0.38	2005, 2007, 2009, 2011
PDSS2	ENST00000369031.4	prenyl (decaprenyl) diphosphate synthase, subunit 2 	42	1	0	1	0	0	0	0	0	0	hsa-miR-155-5p	-0.33	-0.33	0.23	
FBXL17	ENST00000359660.5	F-box and leucine-rich repeat protein 17 	182	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.33	-0.38	0.29	2011
XKR4	ENST00000327381.6	XK, Kell blood group complex subunit-related family, member 4 	5	1	0	0	1	3	0	1	2	0	hsa-miR-155-5p	-0.33	-0.33	0.72	2007
KDM5B	ENST00000367265.3	lysine (K)-specific demethylase 5B 	187	1	1	0	0	1	1	0	0	0	hsa-miR-155-5p	-0.33	-0.35	0.86	2009, 2011
UPP2	ENST00000605860.1	uridine phosphorylase 2 	5	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.33	-0.33	0.37	2005, 2007, 2009, 2011
C5orf64	ENST00000505642.1	chromosome 5 open reading frame 64 	5	1	1	0	0	0	0	0	0	1	hsa-miR-155-5p	-0.33	-0.33	< 0.1	2011
CKAP5	ENST00000529230.1	cytoskeleton associated protein 5 	2192	1	0	0	1	0	0	0	0	0	hsa-miR-155-5p	-0.32	-0.32	0.73	2007
C7orf71	ENST00000409974.3	chromosome 7 open reading frame 71 	5	1	0	1	0	0	0	0	0	1	hsa-miR-155-5p	-0.32	-0.32	0.23	2011
HIVEP2	ENST00000367604.1	human immunodeficiency virus type I enhancer binding protein 2 	137	1	1	0	0	0	0	0	0	1	hsa-miR-155-5p	-0.32	-0.32	0.61	2005, 2007, 2009, 2011
FAM83D	ENST00000217429.4	family with sequence similarity 83, member D 	600	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.32	-0.53	0.32	
MBTD1	ENST00000586178.1	mbt domain containing 1 	113	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.32	-0.32	0.51	2009, 2011
ATXN1L	ENST00000427980.2	ataxin 1-like 	12	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.32	-0.32	0.81	2011
SOCS5	ENST00000306503.5	suppressor of cytokine signaling 5 	72	1	0	1	0	1	1	0	0	0	hsa-miR-155-5p	-0.31	-0.31	0.23	
C8orf44-SGK3	ENST00000519289.1	C8orf44-SGK3 readthrough 	56	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.31	-0.35	0.46	2011
METTL21A	ENST00000448823.2	methyltransferase like 21A 	224	1	0	1	0	0	0	0	0	0	hsa-miR-155-5p	-0.31	-0.31	ORF	
TMEM200C	ENST00000581347.2	transmembrane protein 200C 	54	1	1	0	0	3	0	0	3	1	hsa-miR-155-5p	-0.31	-0.59	0.71	
CSNK1G2	ENST00000255641.8	casein kinase 1, gamma 2 	5	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.31	-0.31	0.66	2007, 2009, 2011
VEZF1	ENST00000584396.1	vascular endothelial zinc finger 1 	209	1	0	1	0	1	0	1	0	0	hsa-miR-155-5p	-0.31	-0.31	0.41	2007
TAB2	ENST00000367456.1	TGF-beta activated kinase 1/MAP3K7 binding protein 2 	1129	1	1	0	0	1	1	0	0	0	hsa-miR-155-5p	-0.31	-0.56	0.49	2011
SMARCA4	ENST00000358026.2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4 	662	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.30	-0.33	0.19	2005, 2007, 2011
CACUL1	ENST00000369151.3	CDK2-associated, cullin domain 1 	213	2	0	1	1	1	0	1	0	2	hsa-miR-155-5p	-0.30	-0.42	0.84	2005, 2007, 2009, 2011
SAMD12	ENST00000409003.4	sterile alpha motif domain containing 12 	57	1	0	1	0	1	0	1	0	0	hsa-miR-155-5p	-0.30	-0.30	0.41	2011
FUT9	ENST00000302103.5	fucosyltransferase 9 (alpha (1,3) fucosyltransferase) 	5	1	1	0	0	1	0	0	1	2	hsa-miR-155-5p	-0.30	-0.30	< 0.1	2009, 2011
RPS6KA3	ENST00000379565.3	ribosomal protein S6 kinase, 90kDa, polypeptide 3 	769	1	0	1	0	0	0	0	0	1	hsa-miR-155-5p	-0.30	-0.31	0.23	2005, 2007, 2009, 2011
ZBTB38	ENST00000514251.1	zinc finger and BTB domain containing 38 	1270	1	1	0	0	1	0	1	0	0	hsa-miR-155-5p	-0.29	-0.44	0.15	2009, 2011
SGK3	ENST00000345714.4	serum/glucocorticoid regulated kinase family, member 3 	56	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.29	-0.33	0.46	2007, 2009, 2011
TSSK1B	ENST00000390666.3	testis-specific serine kinase 1B 	5	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.29	-0.29	< 0.1	
WBP1L	ENST00000369889.4	WW domain binding protein 1-like 	5	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.29	-0.29	0.23	2009, 2011
TCF7L2	ENST00000355717.4	transcription factor 7-like 2 (T-cell specific, HMG-box) 	650	1	1	0	0	1	0	0	1	0	hsa-miR-155-5p	-0.29	-0.29	0.23	2011
RAB5C	ENST00000346213.4	RAB5C, member RAS oncogene family 	96	1	0	1	0	1	0	1	0	0	hsa-miR-155-5p	-0.28	-0.44	0.41	2009, 2011
KDM3A	ENST00000409556.1	lysine (K)-specific demethylase 3A 	2300	1	0	0	1	0	0	0	0	2	hsa-miR-155-5p	-0.28	-0.32	0.71	2005, 2007
CBFB	ENST00000290858.6	core-binding factor, beta subunit 	3904	1	0	0	1	0	0	0	0	3	hsa-miR-155-5p	-0.28	-0.30	0.35	
SMAD1	ENST00000302085.4	SMAD family member 1 	240	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.28	-0.29	< 0.1	2009, 2011
PODN	ENST00000371500.3	podocan 	5	1	0	1	0	0	0	0	0	0	hsa-miR-155-5p	-0.28	-0.28	0.23	2009, 2011
TBR1	ENST00000389554.3	T-box, brain, 1 	5	1	1	0	0	1	1	0	0	0	hsa-miR-155-5p	-0.28	-0.28	< 0.1	
TRMT1L	ENST00000367504.3	tRNA methyltransferase 1 homolog (S. cerevisiae)-like 	410	1	1	0	0	0	0	0	0	1	hsa-miR-155-5p	-0.28	-0.28	< 0.1	
SPI1	ENST00000378538.3	spleen focus forming virus (SFFV) proviral integration oncogene 	5	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.28	-0.28	< 0.1	2005, 2007, 2009, 2011
SETD7	ENST00000274031.3	SET domain containing (lysine methyltransferase) 7 	76	1	0	0	1	2	0	0	2	1	hsa-miR-155-5p	-0.28	-0.29	0.41	2011
CHAF1A	ENST00000301280.5	chromatin assembly factor 1, subunit A (p150) 	647	1	0	1	0	0	0	0	0	0	hsa-miR-155-5p	-0.28	-0.28	0.23	2009, 2011
DMTF1	ENST00000413276.2	cyclin D binding myb-like transcription factor 1 	198	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.28	-0.28	< 0.1	2009, 2011
C8orf4	ENST00000315792.3	chromosome 8 open reading frame 4 	3820	1	0	1	0	0	0	0	0	0	hsa-miR-155-5p	-0.27	-0.28	0.23	2011
RCN2	ENST00000394885.3	reticulocalbin 2, EF-hand calcium binding domain 	4448	1	0	1	0	0	0	0	0	0	hsa-miR-155-5p	-0.27	-0.27	0.23	2005, 2007, 2011
SPRED1	ENST00000299084.4	sprouty-related, EVH1 domain containing 1 	547	1	0	0	1	2	0	1	1	2	hsa-miR-155-5p	-0.27	-0.28	0.67	2005, 2007, 2011
C9orf78	ENST00000372447.3	chromosome 9 open reading frame 78 	1483	1	0	1	0	0	0	0	0	0	hsa-miR-155-5p	-0.26	-0.26	0.23	
KRAS	ENST00000256078.4	Kirsten rat sarcoma viral oncogene homolog 	40	1	0	1	0	1	0	0	1	0	hsa-miR-155-5p	-0.26	-0.31	0.27	2005, 2007, 2009, 2011
SKIV2L2	ENST00000230640.5	superkiller viralicidic activity 2-like 2 (S. cerevisiae) 	1037	1	0	1	0	0	0	0	0	0	hsa-miR-155-5p	-0.26	-0.26	0.23	2011
GMCL1	ENST00000282570.3	germ cell-less, spermatogenesis associated 1 	360	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.26	-0.27	0.36	
INADL	ENST00000371158.2	InaD-like (Drosophila) 	96	1	0	0	1	1	0	1	0	0	hsa-miR-155-5p	-0.26	-0.26	0.69	2009, 2011
FOXO3	ENST00000343882.6	forkhead box O3 	32	1	0	1	0	3	1	1	1	0	hsa-miR-155-5p	-0.26	-0.26	0.31	2011
BCL10	ENST00000370580.1	B-cell CLL/lymphoma 10 	2090	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.26	-0.27	< 0.1	2011
COPS3	ENST00000539941.2	COP9 signalosome subunit 3 	3495	1	0	0	1	0	0	0	0	0	hsa-miR-155-5p	-0.26	-0.28	0.73	2005, 2007, 2011
CEP41	ENST00000223208.5	centrosomal protein 41kDa 	346	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.25	-0.27	0.42	2005, 2007, 2009, 2011
FBXO30	ENST00000237281.4	F-box protein 30 	224	1	1	0	0	3	1	2	0	2	hsa-miR-155-5p	-0.25	-0.32	0.23	
PKIA	ENST00000396418.2	protein kinase (cAMP-dependent, catalytic) inhibitor alpha 	542	1	0	1	0	2	0	0	2	0	hsa-miR-155-5p	-0.25	-0.31	0.24	2005, 2007
USP8	ENST00000396444.3	ubiquitin specific peptidase 8 	109	1	0	1	0	0	0	0	0	2	hsa-miR-155-5p	-0.25	-0.26	0.23	2011
SWSAP1	ENST00000312423.2	SWIM-type zinc finger 7 associated protein 1 	55	1	0	1	0	0	0	0	0	0	hsa-miR-155-5p	-0.25	-0.32	0.23	
CDC73	ENST00000367435.3	cell division cycle 73 	579	1	0	1	0	3	1	1	1	2	hsa-miR-155-5p	-0.25	-0.64	0.25	2011
PRKD1	ENST00000331968.5	protein kinase D1 	75	1	0	0	1	0	0	0	0	0	hsa-miR-155-5p	-0.25	-0.25	0.63	
CA13	ENST00000321764.3	carbonic anhydrase XIII 	42	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.25	-0.25	< 0.1	2009, 2011
S1PR1	ENST00000305352.6	sphingosine-1-phosphate receptor 1 	251	1	0	1	0	1	1	0	0	0	hsa-miR-155-5p	-0.25	-0.66	0.23	2005, 2007, 2009, 2011
MGP	ENST00000539261.1	matrix Gla protein 	153	1	0	1	0	0	0	0	0	0	hsa-miR-155-5p	-0.25	-0.25	0.23	2011
IL6ST	ENST00000381287.4	interleukin 6 signal transducer (gp130, oncostatin M receptor) 	213	1	0	1	0	2	0	0	2	1	hsa-miR-155-5p	-0.25	-0.27	0.32	2011
NFIA	ENST00000403491.3	nuclear factor I/A 	5	1	0	0	1	3	0	2	1	1	hsa-miR-155-5p	-0.24	-0.24	0.73	2011
LRRC59	ENST00000225972.7	leucine rich repeat containing 59 	27064	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.24	-0.28	0.45	2007, 2009, 2011
SOX10	ENST00000396884.2	SRY (sex determining region Y)-box 10 	5	1	0	0	1	0	0	0	0	0	hsa-miR-155-5p	-0.24	-0.24	0.68	2011
SOX1	ENST00000330949.1	SRY (sex determining region Y)-box 1 	5	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.24	-0.24	0.71	2005, 2007, 2009, 2011
CREBRF	ENST00000540014.1	CREB3 regulatory factor 	24	1	0	1	0	1	0	1	0	1	hsa-miR-155-5p	-0.24	-0.25	0.41	2005, 2007
ATP6V1G1	ENST00000374050.3	ATPase, H+ transporting, lysosomal 13kDa, V1 subunit G1 	8219	1	0	0	1	0	0	0	0	1	hsa-miR-155-5p	-0.24	-0.28	0.45	2009, 2011
BAG5	ENST00000299204.4	BCL2-associated athanogene 5 	267	1	1	0	0	2	0	0	2	0	hsa-miR-155-5p	-0.24	-0.24	0.31	2009, 2011
UQCR11	ENST00000589880.1	ubiquinol-cytochrome c reductase, complex III subunit XI 	34490	1	0	0	1	0	0	0	0	0	hsa-miR-155-5p	-0.24	-0.24	0.50	2009, 2011
NGEF	ENST00000264051.3	neuronal guanine nucleotide exchange factor 	13	1	0	0	1	0	0	0	0	0	hsa-miR-155-5p	-0.24	-0.24	0.58	2007, 2011
NRG3	ENST00000372142.2	neuregulin 3 	27	1	0	0	1	1	1	0	0	0	hsa-miR-155-5p	-0.24	-0.46	0.72	2011
SPTSSA	ENST00000298130.4	serine palmitoyltransferase, small subunit A 	27	1	0	1	0	2	0	1	1	0	hsa-miR-155-5p	-0.24	-0.53	0.23	2009, 2011
IKBKE	ENST00000367120.3	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase epsilon 	334	2	0	2	0	0	0	0	0	0	hsa-miR-155-5p	-0.23	-0.23	0.41	2011
SEPT11	ENST00000264893.6	septin 11 	515	1	0	1	0	2	0	1	1	0	hsa-miR-155-5p	-0.23	-0.26	0.31	2005, 2007, 2009, 2011
MAP3K7	ENST00000369325.3	mitogen-activated protein kinase kinase kinase 7 	1172	1	1	0	0	1	1	0	0	0	hsa-miR-155-5p	-0.23	-0.47	< 0.1	
LSM14A	ENST00000433627.5	LSM14A, SCD6 homolog A (S. cerevisiae) 	362	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.23	-0.35	0.39	2011
